A0A0H2VCA1	PGA_scaffold53906__1_contigs__length_4067:460-2508	Autotransporter adhesin UpaG
O97772	PGA_scaffold4__129_contigs__length_65288255:41945186-41945381	Cholecystokinin receptor type A (CCK-A receptor) (CCK-AR) (Cholecystokinin-1 receptor) (CCK1-R)
O97817	PGA_scaffold3__111_contigs__length_57743597:1197742-1202291	Adhesion G protein-coupled receptor L2 (Calcium-independent alpha-latrotoxin receptor 2) (CIRL-2) (Latrophilin-2)
O97817	PGA_scaffold3__111_contigs__length_57743597:828959-832526	Adhesion G protein-coupled receptor L2 (Calcium-independent alpha-latrotoxin receptor 2) (CIRL-2) (Latrophilin-2)
O97831	PGA_scaffold12__71_contigs__length_50438331:30390427-30391138	Adhesion G protein-coupled receptor L1 (Calcium-independent alpha-latrotoxin receptor 1) (CIRL-1) (Latrophilin-1)
O97951	PGA_scaffold70435__1_contigs__length_29664:16067-17582	UDP-glucuronosyltransferase 2B18 (UDPGT 2B18) (EC 2.4.1.17)
P00184	PGA_scaffold58268__1_contigs__length_7177:5030-6518	Cytochrome P450 1A1 (EC 1.14.14.1) (CYPIA1) (Cytochrome P450-P1)
P00185	PGA_scaffold12__71_contigs__length_50438331:30942063-30943548	Cytochrome P450 1A1 (CYP1A1) (EC 1.14.14.1) (CYPIA1) (Cytochrome P450-C) (Cytochrome P450MT2) [Cleaved into: Cytochrome P450MT2A; Cytochrome P450MT2B]
P00185	PGA_scaffold45203__1_contigs__length_2021:742-1942	Cytochrome P450 1A1 (CYP1A1) (EC 1.14.14.1) (CYPIA1) (Cytochrome P450-C) (Cytochrome P450MT2) [Cleaved into: Cytochrome P450MT2A; Cytochrome P450MT2B]
P00186	PGA_scaffold6__104_contigs__length_61759565:28389046-28397968	Cytochrome P450 1A2 (EC 1.14.14.1) (CYPIA2) (Cholesterol 25-hydroxylase) (Cytochrome P450-P2) (Cytochrome P450-P3)
P00187	PGA_scaffold6__104_contigs__length_61759565:16787453-16788332	Cytochrome P450 1A2 (EC 1.14.14.1) (CYPIA2) (Cholesterol 25-hydroxylase) (Cytochrome P450 isozyme 4) (Cytochrome P450 LM4) (Cytochrome P450-PM4)
P00389	PGA_scaffold6__104_contigs__length_61759565:39316152-39343514	NADPH--cytochrome P450 reductase (CPR) (P450R) (EC 1.6.2.4)
P00504	PGA_scaffold58604__1_contigs__length_8066:3726-3852	Aspartate aminotransferase, cytoplasmic (cAspAT) (EC 2.6.1.1) (EC 2.6.1.3) (Cysteine aminotransferase, cytoplasmic) (Cysteine transaminase, cytoplasmic) (cCAT) (Glutamate oxaloacetate transaminase 1) (Transaminase A)
P00518	PGA_scaffold6__104_contigs__length_61759565:11804518-11820436	Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform (EC 2.7.11.19) (Phosphorylase kinase subunit gamma-1) (Serine/threonine-protein kinase PHKG1) (EC 2.7.11.1) (EC 2.7.11.26)
P00727	PGA_scaffold12__71_contigs__length_50438331:38374986-38382172	Cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase 3) (LAP-3) (Leucyl aminopeptidase) (Peptidase S) (Proline aminopeptidase) (EC 3.4.11.5) (Prolyl aminopeptidase)
P00766	PGA_scaffold31655__1_contigs__length_25111:2-11632	Chymotrypsinogen A (EC 3.4.21.1) [Cleaved into: Chymotrypsin A chain A; Chymotrypsin A chain B; Chymotrypsin A chain C]
P00774	PGA_scaffold63041__1_contigs__length_23019:121-20333	Chymotrypsin-like elastase family member 2A (EC 3.4.21.71) (Elastase-2) (Elastase-2A)
P00918	PGA_scaffold183329__1_contigs__length_7704:337-6336	Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase C) (CAC) (Carbonic anhydrase II) (CA-II)
P00918	PGA_scaffold183330__1_contigs__length_7541:344-6152	Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase C) (CAC) (Carbonic anhydrase II) (CA-II)
P00918	PGA_scaffold183333__1_contigs__length_7704:1368-7367	Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase C) (CAC) (Carbonic anhydrase II) (CA-II)
P00918	PGA_scaffold183334__1_contigs__length_7541:1389-7197	Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase C) (CAC) (Carbonic anhydrase II) (CA-II)
P00918	PGA_scaffold185824__1_contigs__length_7704:337-6336	Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase C) (CAC) (Carbonic anhydrase II) (CA-II)
P00918	PGA_scaffold185825__1_contigs__length_7541:344-6152	Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase C) (CAC) (Carbonic anhydrase II) (CA-II)
P00918	PGA_scaffold185828__1_contigs__length_7704:1368-7367	Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase C) (CAC) (Carbonic anhydrase II) (CA-II)
P00918	PGA_scaffold185829__1_contigs__length_7541:1389-7197	Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase C) (CAC) (Carbonic anhydrase II) (CA-II)
P01266	PGA_scaffold6__104_contigs__length_61759565:443176-443383	Thyroglobulin (Tg)
P01266	PGA_scaffold6__104_contigs__length_61759565:9087433-9087649	Thyroglobulin (Tg)
P01267	PGA_scaffold6__104_contigs__length_61759565:11526371-11541309	Thyroglobulin (Tg)
P02552	PGA_scaffold66100__1_contigs__length_11248:3486-5366	Tubulin alpha-1 chain [Cleaved into: Detyrosinated tubulin alpha-1 chain] (Fragment)
P02553	PGA_scaffold28464__1_contigs__length_6735:39-456	Tubulin alpha chain (Fragment)
P02553	PGA_scaffold3__111_contigs__length_57743597:6709263-6709347	Tubulin alpha chain (Fragment)
P02553	PGA_scaffold52152__1_contigs__length_4332:39-456	Tubulin alpha chain (Fragment)
P02595	PGA_scaffold70228__1_contigs__length_47471:5358-11184	Calmodulin (CaM)
P02605	PGA_scaffold99517__1_contigs__length_1506:446-971	Myosin light chain 3, skeletal muscle isoform (Alkali myosin light chain 3) (MLC-3) (Myosin light chain 3f) (Myosin light chain alkali 2) (Myosin light chain A2) (Skeletal-muscle myosin L-4 light chain)
P02605	PGA_scaffold99518__1_contigs__length_2484:2059-2263	Myosin light chain 3, skeletal muscle isoform (Alkali myosin light chain 3) (MLC-3) (Myosin light chain 3f) (Myosin light chain alkali 2) (Myosin light chain A2) (Skeletal-muscle myosin L-4 light chain)
P02605	PGA_scaffold99522__1_contigs__length_1498:446-971	Myosin light chain 3, skeletal muscle isoform (Alkali myosin light chain 3) (MLC-3) (Myosin light chain 3f) (Myosin light chain alkali 2) (Myosin light chain A2) (Skeletal-muscle myosin L-4 light chain)
P02605	PGA_scaffold99523__1_contigs__length_1506:535-1060	Myosin light chain 3, skeletal muscle isoform (Alkali myosin light chain 3) (MLC-3) (Myosin light chain 3f) (Myosin light chain alkali 2) (Myosin light chain A2) (Skeletal-muscle myosin L-4 light chain)
P02605	PGA_scaffold99524__1_contigs__length_2484:221-425	Myosin light chain 3, skeletal muscle isoform (Alkali myosin light chain 3) (MLC-3) (Myosin light chain 3f) (Myosin light chain alkali 2) (Myosin light chain A2) (Skeletal-muscle myosin L-4 light chain)
P02605	PGA_scaffold99528__1_contigs__length_1498:527-1052	Myosin light chain 3, skeletal muscle isoform (Alkali myosin light chain 3) (MLC-3) (Myosin light chain 3f) (Myosin light chain alkali 2) (Myosin light chain A2) (Skeletal-muscle myosin L-4 light chain)
P02605	PGA_scaffold99785__1_contigs__length_1506:446-971	Myosin light chain 3, skeletal muscle isoform (Alkali myosin light chain 3) (MLC-3) (Myosin light chain 3f) (Myosin light chain alkali 2) (Myosin light chain A2) (Skeletal-muscle myosin L-4 light chain)
P02605	PGA_scaffold99786__1_contigs__length_2484:2059-2263	Myosin light chain 3, skeletal muscle isoform (Alkali myosin light chain 3) (MLC-3) (Myosin light chain 3f) (Myosin light chain alkali 2) (Myosin light chain A2) (Skeletal-muscle myosin L-4 light chain)
P02605	PGA_scaffold99790__1_contigs__length_1498:446-971	Myosin light chain 3, skeletal muscle isoform (Alkali myosin light chain 3) (MLC-3) (Myosin light chain 3f) (Myosin light chain alkali 2) (Myosin light chain A2) (Skeletal-muscle myosin L-4 light chain)
P02605	PGA_scaffold99791__1_contigs__length_1506:535-1060	Myosin light chain 3, skeletal muscle isoform (Alkali myosin light chain 3) (MLC-3) (Myosin light chain 3f) (Myosin light chain alkali 2) (Myosin light chain A2) (Skeletal-muscle myosin L-4 light chain)
P02605	PGA_scaffold99792__1_contigs__length_2484:221-425	Myosin light chain 3, skeletal muscle isoform (Alkali myosin light chain 3) (MLC-3) (Myosin light chain 3f) (Myosin light chain alkali 2) (Myosin light chain A2) (Skeletal-muscle myosin L-4 light chain)
P02605	PGA_scaffold99796__1_contigs__length_1498:527-1052	Myosin light chain 3, skeletal muscle isoform (Alkali myosin light chain 3) (MLC-3) (Myosin light chain 3f) (Myosin light chain alkali 2) (Myosin light chain A2) (Skeletal-muscle myosin L-4 light chain)
P02637	PGA_scaffold168213__1_contigs__length_9990:6452-8742	Sarcoplasmic calcium-binding protein (SCP)
P02637	PGA_scaffold168214__1_contigs__length_8025:4164-6721	Sarcoplasmic calcium-binding protein (SCP)
P02637	PGA_scaffold168221__1_contigs__length_9990:1248-3538	Sarcoplasmic calcium-binding protein (SCP)
P02637	PGA_scaffold168222__1_contigs__length_8025:1304-3861	Sarcoplasmic calcium-binding protein (SCP)
P02637	PGA_scaffold169637__1_contigs__length_9990:6452-8742	Sarcoplasmic calcium-binding protein (SCP)
P02637	PGA_scaffold169638__1_contigs__length_8025:4164-6721	Sarcoplasmic calcium-binding protein (SCP)
P02637	PGA_scaffold169645__1_contigs__length_9990:1248-3538	Sarcoplasmic calcium-binding protein (SCP)
P02637	PGA_scaffold169646__1_contigs__length_8025:1304-3861	Sarcoplasmic calcium-binding protein (SCP)
P02672	PGA_scaffold18__69_contigs__length_27737463:18533055-18534297	Fibrinogen alpha chain [Cleaved into: Fibrinopeptide A; Fibrinogen alpha chain]
P02674	PGA_scaffold70089__1_contigs__length_30721:17693-20267	Fibrinogen alpha-1 chain [Cleaved into: Fibrinopeptide A; Fibrinogen alpha-1 chain] (Fragment)
P02674	PGA_scaffold70089__1_contigs__length_30721:17928-22069	Fibrinogen alpha-1 chain [Cleaved into: Fibrinopeptide A; Fibrinogen alpha-1 chain] (Fragment)
P02707	PGA_scaffold139069__1_contigs__length_3280:919-1270	Hepatic lectin
P02707	PGA_scaffold139071__1_contigs__length_3579:1228-1495	Hepatic lectin
P02707	PGA_scaffold139073__1_contigs__length_3280:2010-2361	Hepatic lectin
P02707	PGA_scaffold139075__1_contigs__length_3579:2084-2351	Hepatic lectin
P02707	PGA_scaffold157632__1_contigs__length_6204:233-5269	Hepatic lectin
P02707	PGA_scaffold157633__1_contigs__length_6204:935-5971	Hepatic lectin
P02707	PGA_scaffold157635__1_contigs__length_8231:877-5287	Hepatic lectin
P02707	PGA_scaffold157636__1_contigs__length_9541:767-5268	Hepatic lectin
P02707	PGA_scaffold157637__1_contigs__length_9541:4273-8774	Hepatic lectin
P02707	PGA_scaffold157639__1_contigs__length_8231:2944-7354	Hepatic lectin
P02707	PGA_scaffold179888__1_contigs__length_3280:919-1270	Hepatic lectin
P02707	PGA_scaffold179890__1_contigs__length_3579:1228-1495	Hepatic lectin
P02707	PGA_scaffold179892__1_contigs__length_3280:2010-2361	Hepatic lectin
P02707	PGA_scaffold179894__1_contigs__length_3579:2084-2351	Hepatic lectin
P02707	PGA_scaffold21729__1_contigs__length_8925:5277-8126	Hepatic lectin
P02707	PGA_scaffold23323__1_contigs__length_11138:930-8263	Hepatic lectin
P02707	PGA_scaffold258__1_contigs__length_1101056:330818-338930	Hepatic lectin
P02707	PGA_scaffold49382__1_contigs__length_25798:4053-14070	Hepatic lectin
P02707	PGA_scaffold4__129_contigs__length_65288255:7852761-7859829	Hepatic lectin
P02707	PGA_scaffold68382__1_contigs__length_35256:28888-34421	Hepatic lectin
P02707	PGA_scaffold73034__1_contigs__length_7514:629-3057	Hepatic lectin
P02710	PGA_scaffold4__129_contigs__length_65288255:33517186-33520153	Acetylcholine receptor subunit alpha
P02711	PGA_scaffold256358__1_contigs__length_1426:2-347	Acetylcholine receptor subunit alpha
P02711	PGA_scaffold256359__1_contigs__length_1425:2-326	Acetylcholine receptor subunit alpha
P02711	PGA_scaffold256360__1_contigs__length_1426:1079-1424	Acetylcholine receptor subunit alpha
P02711	PGA_scaffold256361__1_contigs__length_1425:1099-1423	Acetylcholine receptor subunit alpha
P02711	PGA_scaffold256690__1_contigs__length_1426:2-347	Acetylcholine receptor subunit alpha
P02711	PGA_scaffold256691__1_contigs__length_1425:2-326	Acetylcholine receptor subunit alpha
P02711	PGA_scaffold256692__1_contigs__length_1426:1079-1424	Acetylcholine receptor subunit alpha
P02711	PGA_scaffold256693__1_contigs__length_1425:1099-1423	Acetylcholine receptor subunit alpha
P02712	PGA_scaffold67683__1_contigs__length_2568:1110-2406	Acetylcholine receptor subunit beta
P02718	PGA_scaffold12__71_contigs__length_50438331:12894965-12911460	Acetylcholine receptor subunit delta
P02718	PGA_scaffold18__69_contigs__length_27737463:7538197-7545192	Acetylcholine receptor subunit delta
P02826	PGA_scaffold263548__1_contigs__length_3184:1465-2366	Heat shock 70 kDa protein cognate 1 (Heat shock 70 kDa protein 70C) (Fragments)
P02826	PGA_scaffold263549__1_contigs__length_3170:818-1719	Heat shock 70 kDa protein cognate 1 (Heat shock 70 kDa protein 70C) (Fragments)
P02826	PGA_scaffold263550__1_contigs__length_3184:1465-2366	Heat shock 70 kDa protein cognate 1 (Heat shock 70 kDa protein 70C) (Fragments)
P02826	PGA_scaffold263551__1_contigs__length_3170:818-1719	Heat shock 70 kDa protein cognate 1 (Heat shock 70 kDa protein 70C) (Fragments)
P02826	PGA_scaffold38860__1_contigs__length_1204:326-950	Heat shock 70 kDa protein cognate 1 (Heat shock 70 kDa protein 70C) (Fragments)
P02827	PGA_scaffold14400__1_contigs__length_2117:1471-1841	Heat shock 70 kDa protein (HSP70)
P02830	PGA_scaffold292755__1_contigs__length_1932:228-468	Homeobox protein Hox-A7 (Homeobox protein Hox-1.1) (Homeobox protein M6-12) (M6)
P02830	PGA_scaffold292760__1_contigs__length_1932:1464-1704	Homeobox protein Hox-A7 (Homeobox protein Hox-1.1) (Homeobox protein M6-12) (M6)
P02830	PGA_scaffold294852__1_contigs__length_1933:227-470	Homeobox protein Hox-A7 (Homeobox protein Hox-1.1) (Homeobox protein M6-12) (M6)
P02830	PGA_scaffold294856__1_contigs__length_1933:1463-1706	Homeobox protein Hox-A7 (Homeobox protein Hox-1.1) (Homeobox protein M6-12) (M6)
P02993	PGA_scaffold65920__1_contigs__length_22255:15794-15929	Elongation factor 1-alpha (EF-1-alpha)
P03010	PGA_scaffold43177__1_contigs__length_3643:3246-3582	Putative AC9 transposase
P03162	PGA_scaffold48805__1_contigs__length_2062:486-1125	Protein P [Includes: DNA-directed DNA polymerase (EC 2.7.7.7); RNA-directed DNA polymerase (EC 2.7.7.49); Ribonuclease H (EC 3.1.26.4)]
P03162	PGA_scaffold64383__1_contigs__length_88001:72181-73080	Protein P [Includes: DNA-directed DNA polymerase (EC 2.7.7.7); RNA-directed DNA polymerase (EC 2.7.7.49); Ribonuclease H (EC 3.1.26.4)]
P03360	PGA_scaffold4__129_contigs__length_65288255:7464518-7465436	Pol polyprotein [Cleaved into: Reverse transcriptase/ribonuclease H (RT) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4); Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-)] (Fragment)
P03697	PGA_scaffold174486__1_contigs__length_8969:2726-3404	Exonuclease (EC 3.1.11.3)
P03697	PGA_scaffold174487__1_contigs__length_8969:5565-6243	Exonuclease (EC 3.1.11.3)
P03697	PGA_scaffold177693__1_contigs__length_8969:2726-3404	Exonuclease (EC 3.1.11.3)
P03697	PGA_scaffold177695__1_contigs__length_8969:5565-6243	Exonuclease (EC 3.1.11.3)
P03697	PGA_scaffold19865__1_contigs__length_1778:700-1378	Exonuclease (EC 3.1.11.3)
P03697	PGA_scaffold39377__1_contigs__length_7546:1705-2383	Exonuclease (EC 3.1.11.3)
P03697	PGA_scaffold58106__1_contigs__length_15949:3829-4702	Exonuclease (EC 3.1.11.3)
P03697	PGA_scaffold62708__1_contigs__length_6683:1117-2212	Exonuclease (EC 3.1.11.3)
P03697	PGA_scaffold68042__1_contigs__length_43179:18011-18863	Exonuclease (EC 3.1.11.3)
P03697	PGA_scaffold72707__1_contigs__length_20113:4017-4695	Exonuclease (EC 3.1.11.3)
P03934	PGA_scaffold12__71_contigs__length_50438331:3393810-3406610	Transposable element Tc1 transposase
P03934	PGA_scaffold160654__1_contigs__length_9670:3466-9636	Transposable element Tc1 transposase
P03934	PGA_scaffold160655__1_contigs__length_9670:34-6204	Transposable element Tc1 transposase
P03934	PGA_scaffold18085__1_contigs__length_3581:2214-3064	Transposable element Tc1 transposase
P03934	PGA_scaffold197347__1_contigs__length_6192:3694-6109	Transposable element Tc1 transposase
P03934	PGA_scaffold197351__1_contigs__length_6192:83-2498	Transposable element Tc1 transposase
P03934	PGA_scaffold198513__1_contigs__length_6192:3694-6109	Transposable element Tc1 transposase
P03934	PGA_scaffold198517__1_contigs__length_6192:83-2498	Transposable element Tc1 transposase
P03934	PGA_scaffold220154__1_contigs__length_9670:3466-9636	Transposable element Tc1 transposase
P03934	PGA_scaffold220156__1_contigs__length_9670:34-6204	Transposable element Tc1 transposase
P03934	PGA_scaffold24396__1_contigs__length_3585:856-3540	Transposable element Tc1 transposase
P03934	PGA_scaffold3__111_contigs__length_57743597:21698022-21698931	Transposable element Tc1 transposase
P03934	PGA_scaffold3__111_contigs__length_57743597:42633042-42644425	Transposable element Tc1 transposase
P03934	PGA_scaffold41653__1_contigs__length_14222:6678-12913	Transposable element Tc1 transposase
P03934	PGA_scaffold43322__1_contigs__length_16910:2608-6198	Transposable element Tc1 transposase
P03934	PGA_scaffold4__129_contigs__length_65288255:22875983-22881576	Transposable element Tc1 transposase
P03934	PGA_scaffold4__129_contigs__length_65288255:30415745-30420304	Transposable element Tc1 transposase
P03934	PGA_scaffold4__129_contigs__length_65288255:39310169-39332747	Transposable element Tc1 transposase
P03934	PGA_scaffold4__129_contigs__length_65288255:50452677-50460185	Transposable element Tc1 transposase
P03934	PGA_scaffold4__129_contigs__length_65288255:50683337-50690845	Transposable element Tc1 transposase
P03934	PGA_scaffold66276__1_contigs__length_39820:36104-37104	Transposable element Tc1 transposase
P03934	PGA_scaffold6__104_contigs__length_61759565:51845339-51846074	Transposable element Tc1 transposase
P04058	PGA_scaffold70424__1_contigs__length_25315:15618-17990	Acetylcholinesterase (AChE) (EC 3.1.1.7)
P04110	PGA_scaffold6__104_contigs__length_61759565:12472199-12483871	Calcium-binding protein SPEC 2A
P04110	PGA_scaffold6__104_contigs__length_61759565:13363032-13373895	Calcium-binding protein SPEC 2A
P04157	PGA_scaffold63435__1_contigs__length_2984:1441-2983	Receptor-type tyrosine-protein phosphatase C (EC 3.1.3.48) (Leukocyte common antigen) (L-CA) (T200) (CD antigen CD45)
P04323	PGA_scaffold105976__1_contigs__length_5371:1321-4357	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
P04323	PGA_scaffold105977__1_contigs__length_5371:1014-4050	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
P04323	PGA_scaffold117353__1_contigs__length_5043:447-4095	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
P04323	PGA_scaffold117354__1_contigs__length_5043:948-4596	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
P04323	PGA_scaffold12__71_contigs__length_50438331:1068105-1069254	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
P04323	PGA_scaffold12__71_contigs__length_50438331:9061881-9069295	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
P04323	PGA_scaffold132683__1_contigs__length_4702:105-3753	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
P04323	PGA_scaffold132684__1_contigs__length_4702:949-4597	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
P04323	PGA_scaffold136633__1_contigs__length_5371:1321-4357	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
P04323	PGA_scaffold136634__1_contigs__length_5371:1014-4050	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
P04323	PGA_scaffold14981__1_contigs__length_3537:1234-2251	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
P04323	PGA_scaffold161813__1_contigs__length_4699:103-3751	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
P04323	PGA_scaffold161814__1_contigs__length_4699:948-4596	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
P04323	PGA_scaffold162711__1_contigs__length_4727:974-4622	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
P04323	PGA_scaffold162713__1_contigs__length_4727:105-3753	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
P04323	PGA_scaffold165217__1_contigs__length_5822:1906-4594	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
P04323	PGA_scaffold165218__1_contigs__length_5822:1228-3916	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
P04323	PGA_scaffold16744__1_contigs__length_6101:3336-5736	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
P04323	PGA_scaffold178623__1_contigs__length_4732:278-3401	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
P04323	PGA_scaffold178626__1_contigs__length_4732:1331-4454	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
P04323	PGA_scaffold181360__1_contigs__length_4699:105-2529	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
P04323	PGA_scaffold181361__1_contigs__length_4699:2170-4594	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
P04323	PGA_scaffold209376__1_contigs__length_4729:105-3753	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
P04323	PGA_scaffold209377__1_contigs__length_4729:976-4624	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
P04323	PGA_scaffold211090__1_contigs__length_4745:2075-4640	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
P04323	PGA_scaffold211091__1_contigs__length_4745:105-2670	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
P04323	PGA_scaffold214488__1_contigs__length_4926:118-3766	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
P04323	PGA_scaffold214489__1_contigs__length_4926:1160-4808	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
P04323	PGA_scaffold235958__1_contigs__length_4954:605-4751	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
P04323	PGA_scaffold235959__1_contigs__length_4954:203-4349	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
P04323	PGA_scaffold236067__1_contigs__length_10249:5389-5656	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
P04323	PGA_scaffold236070__1_contigs__length_10249:4593-4860	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
P04323	PGA_scaffold240784__1_contigs__length_4728:975-4623	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
P04323	PGA_scaffold240788__1_contigs__length_4728:105-3753	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
P04323	PGA_scaffold24170__1_contigs__length_15095:1853-6056	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
P04323	PGA_scaffold241868__1_contigs__length_4954:605-4751	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
P04323	PGA_scaffold241869__1_contigs__length_4954:203-4349	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
P04323	PGA_scaffold245915__1_contigs__length_4728:975-4623	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
P04323	PGA_scaffold245919__1_contigs__length_4728:105-3753	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
P04323	PGA_scaffold24904__1_contigs__length_4811:1788-4425	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]
