A0A0H2VCA1	PGA_scaffold53906__1_contigs__length_4067:460-2508	GO:0009279; GO:0009405; GO:0009986; GO:0016021
P17972	PGA_scaffold29834__1_contigs__length_3161:1079-1538	GO:0005249; GO:0005886; GO:0006813; GO:0008076; GO:0022843; GO:0030431; GO:0051260
P17972	PGA_scaffold4__129_contigs__length_65288255:34909569-34909983	GO:0005249; GO:0005886; GO:0006813; GO:0008076; GO:0022843; GO:0030431; GO:0051260
P17972	PGA_scaffold6__104_contigs__length_61759565:14090500-14090920	GO:0005249; GO:0005886; GO:0006813; GO:0008076; GO:0022843; GO:0030431; GO:0051260
P17972	PGA_scaffold6__104_contigs__length_61759565:61349600-61349978	GO:0005249; GO:0005886; GO:0006813; GO:0008076; GO:0022843; GO:0030431; GO:0051260
P18106	PGA_scaffold18__69_contigs__length_27737463:14103292-14150293	GO:0004713; GO:0004715; GO:0005102; GO:0005524; GO:0005543; GO:0005886; GO:0005912; GO:0006468; GO:0007169; GO:0007391; GO:0007394; GO:0007411; GO:0016477; GO:0019898; GO:0031234; GO:0038083; GO:0042127; GO:0045087; GO:0046664; GO:0051017
P18127	PGA_scaffold25981__1_contigs__length_1131:98-997	GO:0009279; GO:0050825
P18127	PGA_scaffold72742__1_contigs__length_6020:3937-5068	GO:0009279; GO:0050825
P18172	PGA_scaffold12__71_contigs__length_50438331:3750345-3762161	GO:0005576; GO:0016614; GO:0050660
P18172	PGA_scaffold12__71_contigs__length_50438331:43789367-43791239	GO:0005576; GO:0016614; GO:0050660
P18172	PGA_scaffold12__71_contigs__length_50438331:45416277-45432067	GO:0005576; GO:0016614; GO:0050660
P18172	PGA_scaffold12__71_contigs__length_50438331:47078779-47084047	GO:0005576; GO:0016614; GO:0050660
P18172	PGA_scaffold160108__1_contigs__length_6818:5489-6497	GO:0005576; GO:0016614; GO:0050660
P18172	PGA_scaffold160109__1_contigs__length_6822:290-1334	GO:0005576; GO:0016614; GO:0050660
P18172	PGA_scaffold16492__1_contigs__length_1252:870-1251	GO:0005576; GO:0016614; GO:0050660
P18172	PGA_scaffold16492__1_contigs__length_1252:9-741	GO:0005576; GO:0016614; GO:0050660
P18172	PGA_scaffold3__111_contigs__length_57743597:42874582-42876377	GO:0005576; GO:0016614; GO:0050660
P18172	PGA_scaffold40895__1_contigs__length_2563:934-1984	GO:0005576; GO:0016614; GO:0050660
P18172	PGA_scaffold53133__1_contigs__length_3980:353-2132	GO:0005576; GO:0016614; GO:0050660
P18172	PGA_scaffold53193__1_contigs__length_4336:1073-3743	GO:0005576; GO:0016614; GO:0050660
P18172	PGA_scaffold56__1_contigs__length_12916:2475-6157	GO:0005576; GO:0016614; GO:0050660
P18172	PGA_scaffold57__1_contigs__length_10805:4250-4871	GO:0005576; GO:0016614; GO:0050660
P18172	PGA_scaffold5883__1_contigs__length_1252:870-1251	GO:0005576; GO:0016614; GO:0050660
P18172	PGA_scaffold5883__1_contigs__length_1252:9-741	GO:0005576; GO:0016614; GO:0050660
P18172	PGA_scaffold59439__1_contigs__length_8985:6544-7390	GO:0005576; GO:0016614; GO:0050660
P18172	PGA_scaffold61516__1_contigs__length_14448:4019-4619	GO:0005576; GO:0016614; GO:0050660
P18172	PGA_scaffold69818__1_contigs__length_17331:9770-11492	GO:0005576; GO:0016614; GO:0050660
P18172	PGA_scaffold70225__1_contigs__length_12243:3600-11192	GO:0005576; GO:0016614; GO:0050660
P18173	PGA_scaffold108__1_contigs__length_37373:3321-4406	GO:0005576; GO:0006006; GO:0008364; GO:0016614; GO:0046693; GO:0050660
P18173	PGA_scaffold12__71_contigs__length_50438331:18245296-18246331	GO:0005576; GO:0006006; GO:0008364; GO:0016614; GO:0046693; GO:0050660
P18173	PGA_scaffold168751__1_contigs__length_5138:3510-3702	GO:0005576; GO:0006006; GO:0008364; GO:0016614; GO:0046693; GO:0050660
P18173	PGA_scaffold168753__1_contigs__length_5138:3510-3702	GO:0005576; GO:0006006; GO:0008364; GO:0016614; GO:0046693; GO:0050660
P18173	PGA_scaffold168755__1_contigs__length_5138:1436-1628	GO:0005576; GO:0006006; GO:0008364; GO:0016614; GO:0046693; GO:0050660
P18173	PGA_scaffold168757__1_contigs__length_5138:1436-1628	GO:0005576; GO:0006006; GO:0008364; GO:0016614; GO:0046693; GO:0050660
P18173	PGA_scaffold169937__1_contigs__length_5138:3510-3702	GO:0005576; GO:0006006; GO:0008364; GO:0016614; GO:0046693; GO:0050660
P18173	PGA_scaffold169939__1_contigs__length_5138:3510-3702	GO:0005576; GO:0006006; GO:0008364; GO:0016614; GO:0046693; GO:0050660
P18173	PGA_scaffold169941__1_contigs__length_5138:1436-1628	GO:0005576; GO:0006006; GO:0008364; GO:0016614; GO:0046693; GO:0050660
P18173	PGA_scaffold169943__1_contigs__length_5138:1436-1628	GO:0005576; GO:0006006; GO:0008364; GO:0016614; GO:0046693; GO:0050660
P18173	PGA_scaffold29923__1_contigs__length_8534:8191-8521	GO:0005576; GO:0006006; GO:0008364; GO:0016614; GO:0046693; GO:0050660
P18173	PGA_scaffold32422__1_contigs__length_10459:2-356	GO:0005576; GO:0006006; GO:0008364; GO:0016614; GO:0046693; GO:0050660
P18173	PGA_scaffold3__111_contigs__length_57743597:14418404-14419118	GO:0005576; GO:0006006; GO:0008364; GO:0016614; GO:0046693; GO:0050660
P18173	PGA_scaffold4__129_contigs__length_65288255:26106689-26113123	GO:0005576; GO:0006006; GO:0008364; GO:0016614; GO:0046693; GO:0050660
P18173	PGA_scaffold67942__1_contigs__length_32835:15568-17374	GO:0005576; GO:0006006; GO:0008364; GO:0016614; GO:0046693; GO:0050660
P18173	PGA_scaffold78894__1_contigs__length_1259:0-1257	GO:0005576; GO:0006006; GO:0008364; GO:0016614; GO:0046693; GO:0050660
P18173	PGA_scaffold78895__1_contigs__length_1259:2-1259	GO:0005576; GO:0006006; GO:0008364; GO:0016614; GO:0046693; GO:0050660
P18238	PGA_scaffold255128__1_contigs__length_20326:2634-4774	GO:0005471; GO:0005743; GO:0009061; GO:0015886; GO:0016021; GO:0046902; GO:0055085
P18238	PGA_scaffold255129__1_contigs__length_20326:15552-17692	GO:0005471; GO:0005743; GO:0009061; GO:0015886; GO:0016021; GO:0046902; GO:0055085
P18238	PGA_scaffold256108__1_contigs__length_20323:15549-17689	GO:0005471; GO:0005743; GO:0009061; GO:0015886; GO:0016021; GO:0046902; GO:0055085
P18238	PGA_scaffold256109__1_contigs__length_20323:2634-4774	GO:0005471; GO:0005743; GO:0009061; GO:0015886; GO:0016021; GO:0046902; GO:0055085
P18293	PGA_scaffold18__69_contigs__length_27737463:3262290-3271211	GO:0004383; GO:0004672; GO:0005524; GO:0005525; GO:0005886; GO:0006182; GO:0007168; GO:0008074; GO:0016021; GO:0016941; GO:0017046; GO:0019901; GO:0030828; GO:0035556; GO:0042417; GO:0042562; GO:0043235; GO:0048662; GO:0050880
P18433	PGA_scaffold290138__1_contigs__length_16279:12853-15054	GO:0000165; GO:0004725; GO:0005001; GO:0005088; GO:0005622; GO:0005886; GO:0005887; GO:0007411; GO:0008286; GO:0043235; GO:0070062
P18433	PGA_scaffold290140__1_contigs__length_16279:12853-15054	GO:0000165; GO:0004725; GO:0005001; GO:0005088; GO:0005622; GO:0005886; GO:0005887; GO:0007411; GO:0008286; GO:0043235; GO:0070062
P18433	PGA_scaffold290148__1_contigs__length_16279:1225-3426	GO:0000165; GO:0004725; GO:0005001; GO:0005088; GO:0005622; GO:0005886; GO:0005887; GO:0007411; GO:0008286; GO:0043235; GO:0070062
P18433	PGA_scaffold290150__1_contigs__length_16279:1225-3426	GO:0000165; GO:0004725; GO:0005001; GO:0005088; GO:0005622; GO:0005886; GO:0005887; GO:0007411; GO:0008286; GO:0043235; GO:0070062
P18484	PGA_scaffold165543__1_contigs__length_2154:1237-1720	GO:0005886; GO:0006886; GO:0006897; GO:0008565; GO:0030122; GO:0032403; GO:0035091
P18484	PGA_scaffold165544__1_contigs__length_2154:434-917	GO:0005886; GO:0006886; GO:0006897; GO:0008565; GO:0030122; GO:0032403; GO:0035091
P18484	PGA_scaffold166751__1_contigs__length_2154:1237-1720	GO:0005886; GO:0006886; GO:0006897; GO:0008565; GO:0030122; GO:0032403; GO:0035091
P18484	PGA_scaffold166752__1_contigs__length_2154:434-917	GO:0005886; GO:0006886; GO:0006897; GO:0008565; GO:0030122; GO:0032403; GO:0035091
P18583	PGA_scaffold101571__1_contigs__length_2053:415-931	GO:0000226; GO:0000281; GO:0003677; GO:0003723; GO:0006397; GO:0008380; GO:0016607; GO:0043066; GO:0043484; GO:0048024; GO:0050733; GO:0051726
P18583	PGA_scaffold101573__1_contigs__length_2053:1122-1638	GO:0000226; GO:0000281; GO:0003677; GO:0003723; GO:0006397; GO:0008380; GO:0016607; GO:0043066; GO:0043484; GO:0048024; GO:0050733; GO:0051726
P18583	PGA_scaffold119820__1_contigs__length_3181:2471-2864	GO:0000226; GO:0000281; GO:0003677; GO:0003723; GO:0006397; GO:0008380; GO:0016607; GO:0043066; GO:0043484; GO:0048024; GO:0050733; GO:0051726
P18583	PGA_scaffold172504__1_contigs__length_2053:415-931	GO:0000226; GO:0000281; GO:0003677; GO:0003723; GO:0006397; GO:0008380; GO:0016607; GO:0043066; GO:0043484; GO:0048024; GO:0050733; GO:0051726
P18583	PGA_scaffold172506__1_contigs__length_2053:1122-1638	GO:0000226; GO:0000281; GO:0003677; GO:0003723; GO:0006397; GO:0008380; GO:0016607; GO:0043066; GO:0043484; GO:0048024; GO:0050733; GO:0051726
P18583	PGA_scaffold24790__1_contigs__length_1077:0-1053	GO:0000226; GO:0000281; GO:0003677; GO:0003723; GO:0006397; GO:0008380; GO:0016607; GO:0043066; GO:0043484; GO:0048024; GO:0050733; GO:0051726
P18583	PGA_scaffold3__111_contigs__length_57743597:40479701-40484620	GO:0000226; GO:0000281; GO:0003677; GO:0003723; GO:0006397; GO:0008380; GO:0016607; GO:0043066; GO:0043484; GO:0048024; GO:0050733; GO:0051726
P18583	PGA_scaffold65099__1_contigs__length_8689:5973-6339	GO:0000226; GO:0000281; GO:0003677; GO:0003723; GO:0006397; GO:0008380; GO:0016607; GO:0043066; GO:0043484; GO:0048024; GO:0050733; GO:0051726
P18583	PGA_scaffold65352__1_contigs__length_2835:1531-2770	GO:0000226; GO:0000281; GO:0003677; GO:0003723; GO:0006397; GO:0008380; GO:0016607; GO:0043066; GO:0043484; GO:0048024; GO:0050733; GO:0051726
P18583	PGA_scaffold65352__1_contigs__length_2835:23-1008	GO:0000226; GO:0000281; GO:0003677; GO:0003723; GO:0006397; GO:0008380; GO:0016607; GO:0043066; GO:0043484; GO:0048024; GO:0050733; GO:0051726
P18713	PGA_scaffold258__1_contigs__length_1101056:566212-575766	GO:0003677; GO:0005634; GO:0006351; GO:0006355; GO:0046872
P18714	PGA_scaffold4__129_contigs__length_65288255:40823632-40826341	GO:0003677; GO:0005634; GO:0006351; GO:0006355; GO:0046872
P18727	PGA_scaffold12__71_contigs__length_50438331:8065511-8066054	GO:0003677; GO:0005634; GO:0006351; GO:0006355; GO:0046872
P18727	PGA_scaffold29299__1_contigs__length_7446:2133-2676	GO:0003677; GO:0005634; GO:0006351; GO:0006355; GO:0046872
P18735	PGA_scaffold6__104_contigs__length_61759565:57701507-57705606	GO:0003677; GO:0005634; GO:0006351; GO:0006355; GO:0046872
P18737	PGA_scaffold189351__1_contigs__length_2562:1207-1633	GO:0003677; GO:0005634; GO:0006351; GO:0006355; GO:0046872
P18737	PGA_scaffold189352__1_contigs__length_2562:929-1355	GO:0003677; GO:0005634; GO:0006351; GO:0006355; GO:0046872
P18737	PGA_scaffold189354__1_contigs__length_2545:1184-1610	GO:0003677; GO:0005634; GO:0006351; GO:0006355; GO:0046872
P18737	PGA_scaffold189357__1_contigs__length_2545:935-1361	GO:0003677; GO:0005634; GO:0006351; GO:0006355; GO:0046872
P18737	PGA_scaffold211654__1_contigs__length_2562:1207-1633	GO:0003677; GO:0005634; GO:0006351; GO:0006355; GO:0046872
P18737	PGA_scaffold211655__1_contigs__length_2562:929-1355	GO:0003677; GO:0005634; GO:0006351; GO:0006355; GO:0046872
P18737	PGA_scaffold211657__1_contigs__length_2545:1184-1610	GO:0003677; GO:0005634; GO:0006351; GO:0006355; GO:0046872
P18737	PGA_scaffold211660__1_contigs__length_2545:935-1361	GO:0003677; GO:0005634; GO:0006351; GO:0006355; GO:0046872
P18737	PGA_scaffold56492__1_contigs__length_7820:826-5257	GO:0003677; GO:0005634; GO:0006351; GO:0006355; GO:0046872
P18747	PGA_scaffold21849__1_contigs__length_5826:3264-4431	GO:0003677; GO:0005634; GO:0006351; GO:0006355; GO:0046872
P18747	PGA_scaffold21880__1_contigs__length_5309:1150-2317	GO:0003677; GO:0005634; GO:0006351; GO:0006355; GO:0046872
P18747	PGA_scaffold68164__1_contigs__length_14483:87-615	GO:0003677; GO:0005634; GO:0006351; GO:0006355; GO:0046872
P18747	PGA_scaffold71141__1_contigs__length_1407:49-1213	GO:0003677; GO:0005634; GO:0006351; GO:0006355; GO:0046872
P18841	PGA_scaffold12__71_contigs__length_50438331:45198938-45199067	GO:0004937; GO:0005634; GO:0005886; GO:0016021; GO:0019229; GO:0031965; GO:0043410; GO:0046982; GO:0055117
P18841	PGA_scaffold90035__1_contigs__length_10828:6997-7378	GO:0004937; GO:0005634; GO:0005886; GO:0016021; GO:0019229; GO:0031965; GO:0043410; GO:0046982; GO:0055117
P18841	PGA_scaffold90039__1_contigs__length_10828:3450-3831	GO:0004937; GO:0005634; GO:0005886; GO:0016021; GO:0019229; GO:0031965; GO:0043410; GO:0046982; GO:0055117
P18899	PGA_scaffold256038__1_contigs__length_1750:627-990	GO:0003924; GO:0006281; GO:0016887; GO:0034599
P18899	PGA_scaffold256039__1_contigs__length_1750:760-1123	GO:0003924; GO:0006281; GO:0016887; GO:0034599
P18899	PGA_scaffold256232__1_contigs__length_1750:627-990	GO:0003924; GO:0006281; GO:0016887; GO:0034599
P18899	PGA_scaffold256233__1_contigs__length_1750:760-1123	GO:0003924; GO:0006281; GO:0016887; GO:0034599
P18899	PGA_scaffold279450__1_contigs__length_1020:2-707	GO:0003924; GO:0006281; GO:0016887; GO:0034599
P18899	PGA_scaffold279451__1_contigs__length_1020:313-862	GO:0003924; GO:0006281; GO:0016887; GO:0034599
P18899	PGA_scaffold279968__1_contigs__length_1020:2-707	GO:0003924; GO:0006281; GO:0016887; GO:0034599
P18899	PGA_scaffold279969__1_contigs__length_1020:313-862	GO:0003924; GO:0006281; GO:0016887; GO:0034599
P18899	PGA_scaffold281104__1_contigs__length_1451:0-777	GO:0003924; GO:0006281; GO:0016887; GO:0034599
P18899	PGA_scaffold281105__1_contigs__length_1451:674-1451	GO:0003924; GO:0006281; GO:0016887; GO:0034599
P18899	PGA_scaffold283708__1_contigs__length_1451:0-777	GO:0003924; GO:0006281; GO:0016887; GO:0034599
P18899	PGA_scaffold283709__1_contigs__length_1451:674-1451	GO:0003924; GO:0006281; GO:0016887; GO:0034599
P18910	PGA_scaffold18147__1_contigs__length_3238:709-2305	GO:0004383; GO:0004672; GO:0005524; GO:0005525; GO:0005886; GO:0006182; GO:0007166; GO:0007168; GO:0008074; GO:0016021; GO:0016941; GO:0017046; GO:0019901; GO:0030828; GO:0035556; GO:0042417; GO:0043235; GO:0048662; GO:0050880
P18910	PGA_scaffold18__69_contigs__length_27737463:21678200-21704150	GO:0004383; GO:0004672; GO:0005524; GO:0005525; GO:0005886; GO:0006182; GO:0007166; GO:0007168; GO:0008074; GO:0016021; GO:0016941; GO:0017046; GO:0019901; GO:0030828; GO:0035556; GO:0042417; GO:0043235; GO:0048662; GO:0050880
P18910	PGA_scaffold26524__1_contigs__length_5669:2339-4600	GO:0004383; GO:0004672; GO:0005524; GO:0005525; GO:0005886; GO:0006182; GO:0007166; GO:0007168; GO:0008074; GO:0016021; GO:0016941; GO:0017046; GO:0019901; GO:0030828; GO:0035556; GO:0042417; GO:0043235; GO:0048662; GO:0050880
P18910	PGA_scaffold58681__1_contigs__length_3875:1474-2002	GO:0004383; GO:0004672; GO:0005524; GO:0005525; GO:0005886; GO:0006182; GO:0007166; GO:0007168; GO:0008074; GO:0016021; GO:0016941; GO:0017046; GO:0019901; GO:0030828; GO:0035556; GO:0042417; GO:0043235; GO:0048662; GO:0050880
P18910	PGA_scaffold64260__1_contigs__length_22408:158-6345	GO:0004383; GO:0004672; GO:0005524; GO:0005525; GO:0005886; GO:0006182; GO:0007166; GO:0007168; GO:0008074; GO:0016021; GO:0016941; GO:0017046; GO:0019901; GO:0030828; GO:0035556; GO:0042417; GO:0043235; GO:0048662; GO:0050880
P18910	PGA_scaffold66961__1_contigs__length_3932:512-3709	GO:0004383; GO:0004672; GO:0005524; GO:0005525; GO:0005886; GO:0006182; GO:0007166; GO:0007168; GO:0008074; GO:0016021; GO:0016941; GO:0017046; GO:0019901; GO:0030828; GO:0035556; GO:0042417; GO:0043235; GO:0048662; GO:0050880
P19096	PGA_scaffold59160__1_contigs__length_18263:7671-8196	GO:0001649; GO:0003723; GO:0004312; GO:0004313; GO:0004314; GO:0004315; GO:0004316; GO:0004317; GO:0004319; GO:0004320; GO:0005739; GO:0005794; GO:0005829; GO:0005886; GO:0006084; GO:0006633; GO:0008144; GO:0016020; GO:0016295; GO:0016296; GO:0030879; GO:0031177; GO:0042470; GO:0042587; GO:0042803; GO:0045296; GO:0047117; GO:0047451; GO:0070062; GO:0070402; GO:0071353; GO:0102131; GO:0102132
P19096	PGA_scaffold8596__1_contigs__length_15644:9633-10158	GO:0001649; GO:0003723; GO:0004312; GO:0004313; GO:0004314; GO:0004315; GO:0004316; GO:0004317; GO:0004319; GO:0004320; GO:0005739; GO:0005794; GO:0005829; GO:0005886; GO:0006084; GO:0006633; GO:0008144; GO:0016020; GO:0016295; GO:0016296; GO:0030879; GO:0031177; GO:0042470; GO:0042587; GO:0042803; GO:0045296; GO:0047117; GO:0047451; GO:0070062; GO:0070402; GO:0071353; GO:0102131; GO:0102132
P19113	PGA_scaffold78855__1_contigs__length_4108:1-4102	GO:0001694; GO:0004398; GO:0005829; GO:0006547; GO:0006548; GO:0030170; GO:0042423
P19113	PGA_scaffold78857__1_contigs__length_4090:1-4089	GO:0001694; GO:0004398; GO:0005829; GO:0006547; GO:0006548; GO:0030170; GO:0042423
P19113	PGA_scaffold78861__1_contigs__length_4108:6-4107	GO:0001694; GO:0004398; GO:0005829; GO:0006547; GO:0006548; GO:0030170; GO:0042423
P19113	PGA_scaffold78863__1_contigs__length_4090:1-4089	GO:0001694; GO:0004398; GO:0005829; GO:0006547; GO:0006548; GO:0030170; GO:0042423
P19174	PGA_scaffold72955__1_contigs__length_22998:7761-22995	GO:0000186; GO:0001701; GO:0001726; GO:0004435; GO:0004629; GO:0005057; GO:0005168; GO:0005509; GO:0005737; GO:0005829; GO:0005886; GO:0005911; GO:0007165; GO:0007173; GO:0007411; GO:0008180; GO:0009395; GO:0010634; GO:0016032; GO:0016477; GO:0019722; GO:0019901; GO:0030027; GO:0030971; GO:0035254; GO:0038095; GO:0038096; GO:0042995; GO:0043536; GO:0043647; GO:0045766; GO:0050852; GO:0050900; GO:0051281; GO:0071364
P19178	PGA_scaffold45270__1_contigs__length_6627:6344-6626	GO:0000786; GO:0003677; GO:0005634; GO:0046982
P19217	PGA_scaffold42999__1_contigs__length_4640:2204-2381	GO:0004304; GO:0005496; GO:0005737; GO:0008210; GO:0050294
P19218	PGA_scaffold61392__1_contigs__length_57213:10869-11082	GO:0005576; GO:0005886; GO:0031225
P19246	PGA_scaffold131986__1_contigs__length_1013:680-1013	GO:0000226; GO:0005198; GO:0005737; GO:0005739; GO:0005883; GO:0014069; GO:0019901; GO:0030424; GO:0033693; GO:0043209; GO:0045104; GO:0045110; GO:0048936; GO:0060052; GO:0061564; GO:0097418; GO:1902513
P19246	PGA_scaffold131987__1_contigs__length_1013:0-333	GO:0000226; GO:0005198; GO:0005737; GO:0005739; GO:0005883; GO:0014069; GO:0019901; GO:0030424; GO:0033693; GO:0043209; GO:0045104; GO:0045110; GO:0048936; GO:0060052; GO:0061564; GO:0097418; GO:1902513
P19246	PGA_scaffold159998__1_contigs__length_1013:680-1013	GO:0000226; GO:0005198; GO:0005737; GO:0005739; GO:0005883; GO:0014069; GO:0019901; GO:0030424; GO:0033693; GO:0043209; GO:0045104; GO:0045110; GO:0048936; GO:0060052; GO:0061564; GO:0097418; GO:1902513
P19246	PGA_scaffold159999__1_contigs__length_1013:0-333	GO:0000226; GO:0005198; GO:0005737; GO:0005739; GO:0005883; GO:0014069; GO:0019901; GO:0030424; GO:0033693; GO:0043209; GO:0045104; GO:0045110; GO:0048936; GO:0060052; GO:0061564; GO:0097418; GO:1902513
P19370	PGA_scaffold3__111_contigs__length_57743597:10444859-10445048	GO:0001666; GO:0005892; GO:0007165; GO:0007613; GO:0008542; GO:0015464; GO:0022848; GO:0030054; GO:0035095; GO:0042166; GO:0045211; GO:0050877; GO:0050890
P19440	PGA_scaffold6__104_contigs__length_61759565:52222169-52224878	GO:0002682; GO:0003840; GO:0005615; GO:0005886; GO:0006520; GO:0006536; GO:0006691; GO:0006749; GO:0006750; GO:0006751; GO:0006805; GO:0007283; GO:0016021; GO:0019344; GO:0019370; GO:0031362; GO:0031638; GO:0036374; GO:0050727; GO:0070062
P19440	PGA_scaffold6__104_contigs__length_61759565:52232179-52235512	GO:0002682; GO:0003840; GO:0005615; GO:0005886; GO:0006520; GO:0006536; GO:0006691; GO:0006749; GO:0006750; GO:0006751; GO:0006805; GO:0007283; GO:0016021; GO:0019344; GO:0019370; GO:0031362; GO:0031638; GO:0036374; GO:0050727; GO:0070062
P19440	PGA_scaffold6__104_contigs__length_61759565:5885144-5901799	GO:0002682; GO:0003840; GO:0005615; GO:0005886; GO:0006520; GO:0006536; GO:0006691; GO:0006749; GO:0006750; GO:0006751; GO:0006805; GO:0007283; GO:0016021; GO:0019344; GO:0019370; GO:0031362; GO:0031638; GO:0036374; GO:0050727; GO:0070062
P19453	PGA_scaffold60356__1_contigs__length_3590:774-1992	GO:0006953; GO:0034364
P19453	PGA_scaffold65937__1_contigs__length_6971:2013-6121	GO:0006953; GO:0034364
P19477	PGA_scaffold267102__1_contigs__length_6330:733-1826	
P19477	PGA_scaffold267103__1_contigs__length_6330:4504-5597	
P19560	PGA_scaffold34628__1_contigs__length_4885:2281-3001	GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004523; GO:0004533; GO:0006310; GO:0008270; GO:0015074; GO:0019013; GO:0019076; GO:0039660; GO:0044826; GO:0046718; GO:0075521; GO:0075713
P19801	PGA_scaffold51536__1_contigs__length_21274:866-4114	GO:0004872; GO:0005507; GO:0005509; GO:0005576; GO:0005615; GO:0005777; GO:0005886; GO:0005923; GO:0006805; GO:0008131; GO:0008144; GO:0008201; GO:0008270; GO:0009308; GO:0032403; GO:0035580; GO:0035874; GO:0042493; GO:0042803; GO:0043312; GO:0046677; GO:0048038; GO:0052597; GO:0052598; GO:0052599; GO:0052600; GO:0055114; GO:0070062; GO:0071280; GO:0071420; GO:0071504; GO:0097185
P19835	PGA_scaffold28698__1_contigs__length_23086:19901-20171	GO:0003824; GO:0004771; GO:0004806; GO:0005576; GO:0005615; GO:0005737; GO:0006629; GO:0006641; GO:0006707; GO:0008201; GO:0009062; GO:0016787; GO:0018350; GO:0030157; GO:0030299; GO:0044241; GO:0044258; GO:0047372; GO:0052689; GO:0070062
P19835	PGA_scaffold60141__1_contigs__length_4008:2724-3971	GO:0003824; GO:0004771; GO:0004806; GO:0005576; GO:0005615; GO:0005737; GO:0006629; GO:0006641; GO:0006707; GO:0008201; GO:0009062; GO:0016787; GO:0018350; GO:0030157; GO:0030299; GO:0044241; GO:0044258; GO:0047372; GO:0052689; GO:0070062
P19835	PGA_scaffold60141__1_contigs__length_4008:292-2610	GO:0003824; GO:0004771; GO:0004806; GO:0005576; GO:0005615; GO:0005737; GO:0006629; GO:0006641; GO:0006707; GO:0008201; GO:0009062; GO:0016787; GO:0018350; GO:0030157; GO:0030299; GO:0044241; GO:0044258; GO:0047372; GO:0052689; GO:0070062
P19835	PGA_scaffold6__104_contigs__length_61759565:25600026-25600387	GO:0003824; GO:0004771; GO:0004806; GO:0005576; GO:0005615; GO:0005737; GO:0006629; GO:0006641; GO:0006707; GO:0008201; GO:0009062; GO:0016787; GO:0018350; GO:0030157; GO:0030299; GO:0044241; GO:0044258; GO:0047372; GO:0052689; GO:0070062
P19971	PGA_scaffold68959__1_contigs__length_34473:33741-34212	GO:0000002; GO:0001525; GO:0004645; GO:0005829; GO:0006206; GO:0006213; GO:0006935; GO:0008083; GO:0009032; GO:0016154; GO:0016763; GO:0030154; GO:0031641; GO:0042803; GO:0043097; GO:0046135; GO:0051969; GO:1905333
P19976	PGA_scaffold35643__1_contigs__length_12460:3318-7812	GO:0004322; GO:0005506; GO:0005737; GO:0006826; GO:0006880; GO:0008199; GO:0009507
P19976	PGA_scaffold61032__1_contigs__length_18497:9913-14533	GO:0004322; GO:0005506; GO:0005737; GO:0006826; GO:0006880; GO:0008199; GO:0009507
P19984	PGA_scaffold36929__1_contigs__length_7949:7600-7948	GO:0003779; GO:0005737; GO:0005856
P19984	PGA_scaffold56110__1_contigs__length_8179:7830-8178	GO:0003779; GO:0005737; GO:0005856
P20135	PGA_scaffold140645__1_contigs__length_1186:494-827	GO:0004364; GO:0005737; GO:0006749
P20135	PGA_scaffold140646__1_contigs__length_1224:532-865	GO:0004364; GO:0005737; GO:0006749
P20135	PGA_scaffold140647__1_contigs__length_1186:359-692	GO:0004364; GO:0005737; GO:0006749
P20135	PGA_scaffold140648__1_contigs__length_1224:359-692	GO:0004364; GO:0005737; GO:0006749
P20135	PGA_scaffold148328__1_contigs__length_1186:494-827	GO:0004364; GO:0005737; GO:0006749
P20135	PGA_scaffold148329__1_contigs__length_1224:532-865	GO:0004364; GO:0005737; GO:0006749
P20135	PGA_scaffold148330__1_contigs__length_1186:359-692	GO:0004364; GO:0005737; GO:0006749
P20135	PGA_scaffold148331__1_contigs__length_1224:359-692	GO:0004364; GO:0005737; GO:0006749
P20135	PGA_scaffold6__104_contigs__length_61759565:16812054-16814162	GO:0004364; GO:0005737; GO:0006749
P20229	PGA_scaffold12__71_contigs__length_50438331:8445749-8498521	GO:0004867; GO:0005576
P20465	PGA_scaffold178912__1_contigs__length_1150:109-1139	GO:0005186; GO:0005886
P20465	PGA_scaffold178913__1_contigs__length_1150:11-1041	GO:0005186; GO:0005886
P20465	PGA_scaffold180142__1_contigs__length_1150:109-1139	GO:0005186; GO:0005886
P20465	PGA_scaffold180143__1_contigs__length_1150:11-1041	GO:0005186; GO:0005886
P20478	PGA_scaffold19835__1_contigs__length_1012:550-835	GO:0004356; GO:0005524; GO:0005737; GO:0006538; GO:0006542; GO:0007416; GO:0045213
P20478	PGA_scaffold52838__1_contigs__length_2347:507-792	GO:0004356; GO:0005524; GO:0005737; GO:0006538; GO:0006542; GO:0007416; GO:0045213
P20478	PGA_scaffold53168__1_contigs__length_4219:1161-2500	GO:0004356; GO:0005524; GO:0005737; GO:0006538; GO:0006542; GO:0007416; GO:0045213
P20478	PGA_scaffold57070__1_contigs__length_35859:1579-7490	GO:0004356; GO:0005524; GO:0005737; GO:0006538; GO:0006542; GO:0007416; GO:0045213
P20478	PGA_scaffold72711__1_contigs__length_6540:3-1625	GO:0004356; GO:0005524; GO:0005737; GO:0006538; GO:0006542; GO:0007416; GO:0045213
P20478	PGA_scaffold753__1_contigs__length_21469:5745-7082	GO:0004356; GO:0005524; GO:0005737; GO:0006538; GO:0006542; GO:0007416; GO:0045213
