"index"	"chr"	"start"	"end"	"strand"	"pvalue"	"qvalue"	"meth.diff"
"301978"	"PGA_scaffold9__45_contigs__length_38581958"	5315577	5315577	"+"	1.3620094576034e-08	2.28839758381963e-05	56.9940476190476
"305619"	"PGA_scaffold9__45_contigs__length_38581958"	18496701	18496701	"+"	9.1960238483647e-08	0.000103597431370314	55.1282051282051
"306014"	"PGA_scaffold9__45_contigs__length_38581958"	20305867	20305867	"+"	6.69090819281071e-06	0.00249027544074993	-51.1904761904762
"307091"	"PGA_scaffold9__45_contigs__length_38581958"	23437435	23437435	"+"	1.00218497253182e-08	1.7872191900199e-05	-57.8947368421053
"308666"	"PGA_scaffold9__45_contigs__length_38581958"	27911587	27911587	"+"	1.11829114727096e-07	0.000117117197899162	-62.2439024390244
"309778"	"PGA_scaffold9__45_contigs__length_38581958"	30880232	30880232	"+"	1.5763069719106e-07	0.000150438754017533	50.6944444444444
"309974"	"PGA_scaffold9__45_contigs__length_38581958"	31555395	31555395	"+"	6.3149599101766e-08	7.80158863137878e-05	-51.335656213705
"309977"	"PGA_scaffold9__45_contigs__length_38581958"	31555451	31555451	"+"	3.84719426285894e-08	5.33577688691603e-05	-57.5757575757576
"310552"	"PGA_scaffold9__45_contigs__length_38581958"	33178895	33178895	"+"	7.80189457036626e-08	9.28736534199358e-05	55.1282051282051
"310905"	"PGA_scaffold9__45_contigs__length_38581958"	34536734	34536734	"+"	1.87193202846555e-08	2.88168239826742e-05	55.4713804713805
"310920"	"PGA_scaffold9__45_contigs__length_38581958"	34588640	34588640	"+"	1.24765249018439e-07	0.000126936114638877	55.1495016611296
"311012"	"PGA_scaffold9__45_contigs__length_38581958"	34967180	34967180	"+"	8.89906519383645e-11	4.93694085945589e-07	57.5223972814334
"311532"	"PGA_scaffold9__45_contigs__length_38581958"	36012322	36012322	"+"	4.15540306598331e-16	2.44361373485164e-11	-55.6853835334848
"311757"	"PGA_scaffold9__45_contigs__length_38581958"	36367126	36367126	"+"	8.4152747022705e-11	4.85162837312231e-07	60.6906173700733
"311770"	"PGA_scaffold9__45_contigs__length_38581958"	36445363	36445363	"+"	4.90224241858299e-05	0.00976682801381764	50.1934235976789
