Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs
B2RY50	ARMC4_MOUSE	reviewed	Armadillo repeat-containing protein 4	Armc4	Mus musculus (Mouse)	1037	cilium movement [GO:0003341]; determination of left/right symmetry [GO:0007368]; heart development [GO:0007507]; outer dynein arm assembly [GO:0036158]; regulation of cilium beat frequency [GO:0003356]; ventricular system development [GO:0021591]	axoneme [GO:0005930]; ciliary base [GO:0097546]	axoneme [GO:0005930]; ciliary base [GO:0097546]; cilium movement [GO:0003341]; determination of left/right symmetry [GO:0007368]; heart development [GO:0007507]; outer dynein arm assembly [GO:0036158]; regulation of cilium beat frequency [GO:0003356]; ventricular system development [GO:0021591]		GO:0003341; GO:0003356; GO:0005930; GO:0007368; GO:0007507; GO:0021591; GO:0036158; GO:0097546
Q6ZSM3	MOT12_HUMAN	reviewed	Monocarboxylate transporter 12 (MCT 12) (Creatine transporter 2) (CRT2) (Solute carrier family 16 member 12)	SLC16A12 MCT12	Homo sapiens (Human)	516	creatine transmembrane transport [GO:0015881]; monocarboxylic acid transport [GO:0015718]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; creatine transmembrane transporter activity [GO:0005308]; monocarboxylic acid transmembrane transporter activity [GO:0008028]; symporter activity [GO:0015293]; creatine transmembrane transport [GO:0015881]; monocarboxylic acid transport [GO:0015718]	creatine transmembrane transporter activity [GO:0005308]; monocarboxylic acid transmembrane transporter activity [GO:0008028]; symporter activity [GO:0015293]	GO:0005308; GO:0005886; GO:0005887; GO:0008028; GO:0015293; GO:0015718; GO:0015881
Q9I7U4	TITIN_DROME	reviewed	Titin (D-Titin) (Kettin)	sls titin CG1915	Drosophila melanogaster (Fruit fly)	18141	cell division [GO:0051301]; locomotion [GO:0040011]; mesoderm development [GO:0007498]; mitotic chromosome condensation [GO:0007076]; muscle attachment [GO:0016203]; muscle organ development [GO:0007517]; myoblast fusion [GO:0007520]; regulation of hemocyte proliferation [GO:0035206]; sarcomere organization [GO:0045214]; sister chromatid cohesion [GO:0007062]; skeletal muscle tissue development [GO:0007519]; somatic muscle development [GO:0007525]; visceral muscle development [GO:0007522]	I band [GO:0031674]; Z disc [GO:0030018]; condensed nuclear chromosome [GO:0000794]; sarcomere [GO:0030017]; striated muscle myosin thick filament [GO:0005863]	condensed nuclear chromosome [GO:0000794]; I band [GO:0031674]; sarcomere [GO:0030017]; striated muscle myosin thick filament [GO:0005863]; Z disc [GO:0030018]; actin binding [GO:0003779]; structural constituent of muscle [GO:0008307]; cell division [GO:0051301]; locomotion [GO:0040011]; mesoderm development [GO:0007498]; mitotic chromosome condensation [GO:0007076]; muscle attachment [GO:0016203]; muscle organ development [GO:0007517]; myoblast fusion [GO:0007520]; regulation of hemocyte proliferation [GO:0035206]; sarcomere organization [GO:0045214]; sister chromatid cohesion [GO:0007062]; skeletal muscle tissue development [GO:0007519]; somatic muscle development [GO:0007525]; visceral muscle development [GO:0007522]	actin binding [GO:0003779]; structural constituent of muscle [GO:0008307]	GO:0000794; GO:0003779; GO:0005863; GO:0007062; GO:0007076; GO:0007498; GO:0007517; GO:0007519; GO:0007520; GO:0007522; GO:0007525; GO:0008307; GO:0016203; GO:0030017; GO:0030018; GO:0031674; GO:0035206; GO:0040011; GO:0045214; GO:0051301
Q8WZ42	TITIN_HUMAN	reviewed	Titin (EC 2.7.11.1) (Connectin) (Rhabdomyosarcoma antigen MU-RMS-40.14)	TTN	Homo sapiens (Human)	34350	cardiac muscle contraction [GO:0060048]; cardiac muscle fiber development [GO:0048739]; cardiac muscle hypertrophy [GO:0003300]; cardiac muscle tissue morphogenesis [GO:0055008]; cardiac myofibril assembly [GO:0055003]; detection of muscle stretch [GO:0035995]; mitotic chromosome condensation [GO:0007076]; muscle contraction [GO:0006936]; muscle filament sliding [GO:0030049]; platelet degranulation [GO:0002576]; positive regulation of gene expression [GO:0010628]; positive regulation of protein secretion [GO:0050714]; protein kinase A signaling [GO:0010737]; regulation of catalytic activity [GO:0050790]; regulation of protein kinase activity [GO:0045859]; response to calcium ion [GO:0051592]; sarcomere organization [GO:0045214]; sarcomerogenesis [GO:0048769]; skeletal muscle myosin thick filament assembly [GO:0030241]; skeletal muscle thin filament assembly [GO:0030240]; striated muscle contraction [GO:0006941]; striated muscle myosin thick filament assembly [GO:0071688]	I band [GO:0031674]; M band [GO:0031430]; Z disc [GO:0030018]; condensed nuclear chromosome [GO:0000794]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; sarcomere [GO:0030017]; striated muscle thin filament [GO:0005865]	condensed nuclear chromosome [GO:0000794]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; I band [GO:0031674]; M band [GO:0031430]; sarcomere [GO:0030017]; striated muscle thin filament [GO:0005865]; Z disc [GO:0030018]; actin filament binding [GO:0051015]; actinin binding [GO:0042805]; ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; muscle alpha-actinin binding [GO:0051371]; protease binding [GO:0002020]; protein kinase binding [GO:0019901]; protein self-association [GO:0043621]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]; structural constituent of muscle [GO:0008307]; structural molecule activity conferring elasticity [GO:0097493]; telethonin binding [GO:0031433]; cardiac muscle contraction [GO:0060048]; cardiac muscle fiber development [GO:0048739]; cardiac muscle hypertrophy [GO:0003300]; cardiac muscle tissue morphogenesis [GO:0055008]; cardiac myofibril assembly [GO:0055003]; detection of muscle stretch [GO:0035995]; mitotic chromosome condensation [GO:0007076]; muscle contraction [GO:0006936]; muscle filament sliding [GO:0030049]; platelet degranulation [GO:0002576]; positive regulation of gene expression [GO:0010628]; positive regulation of protein secretion [GO:0050714]; protein kinase A signaling [GO:0010737]; regulation of catalytic activity [GO:0050790]; regulation of protein kinase activity [GO:0045859]; response to calcium ion [GO:0051592]; sarcomere organization [GO:0045214]; sarcomerogenesis [GO:0048769]; skeletal muscle myosin thick filament assembly [GO:0030241]; skeletal muscle thin filament assembly [GO:0030240]; striated muscle contraction [GO:0006941]; striated muscle myosin thick filament assembly [GO:0071688]	ATP binding [GO:0005524]; actin filament binding [GO:0051015]; actinin binding [GO:0042805]; calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; muscle alpha-actinin binding [GO:0051371]; protease binding [GO:0002020]; protein kinase binding [GO:0019901]; protein self-association [GO:0043621]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]; structural constituent of muscle [GO:0008307]; structural molecule activity conferring elasticity [GO:0097493]; telethonin binding [GO:0031433]	GO:0000794; GO:0002020; GO:0002576; GO:0003300; GO:0004674; GO:0004713; GO:0005509; GO:0005516; GO:0005524; GO:0005576; GO:0005829; GO:0005865; GO:0006936; GO:0006941; GO:0007076; GO:0008307; GO:0010628; GO:0010737; GO:0019899; GO:0019901; GO:0030017; GO:0030018; GO:0030049; GO:0030240; GO:0030241; GO:0031430; GO:0031433; GO:0031674; GO:0035995; GO:0042802; GO:0042805; GO:0043621; GO:0045214; GO:0045859; GO:0048739; GO:0048769; GO:0050714; GO:0050790; GO:0051015; GO:0051371; GO:0051592; GO:0055003; GO:0055008; GO:0060048; GO:0070062; GO:0071688; GO:0097493
Q23551	UNC22_CAEEL	reviewed	Twitchin (EC 2.7.11.1) (Uncoordinated protein 22)	unc-22 ZK617.1	Caenorhabditis elegans	7158	adult locomotory behavior [GO:0008344]; behavioral response to nicotine [GO:0035095]; muscle contraction [GO:0006936]; negative regulation of cell division [GO:0051782]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of locomotion [GO:0040017]; positive regulation of sarcomere organization [GO:0060298]; positive regulation of striated muscle contraction [GO:0045989]; sarcomere organization [GO:0045214]; striated muscle myosin thick filament assembly [GO:0071688]	A band [GO:0031672]; M band [GO:0031430]; Z disc [GO:0030018]; sarcomere [GO:0030017]; striated muscle thin filament [GO:0005865]	A band [GO:0031672]; M band [GO:0031430]; sarcomere [GO:0030017]; striated muscle thin filament [GO:0005865]; Z disc [GO:0030018]; actin filament binding [GO:0051015]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; metal ion binding [GO:0046872]; muscle alpha-actinin binding [GO:0051371]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activity [GO:0004674]; structural constituent of muscle [GO:0008307]; adult locomotory behavior [GO:0008344]; behavioral response to nicotine [GO:0035095]; muscle contraction [GO:0006936]; negative regulation of cell division [GO:0051782]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of locomotion [GO:0040017]; positive regulation of sarcomere organization [GO:0060298]; positive regulation of striated muscle contraction [GO:0045989]; sarcomere organization [GO:0045214]; striated muscle myosin thick filament assembly [GO:0071688]	ATP binding [GO:0005524]; actin filament binding [GO:0051015]; calmodulin binding [GO:0005516]; metal ion binding [GO:0046872]; muscle alpha-actinin binding [GO:0051371]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activity [GO:0004674]; structural constituent of muscle [GO:0008307]	GO:0004674; GO:0005516; GO:0005524; GO:0005865; GO:0006936; GO:0008307; GO:0008344; GO:0018105; GO:0018107; GO:0019901; GO:0030017; GO:0030018; GO:0031430; GO:0031672; GO:0035095; GO:0040017; GO:0045214; GO:0045989; GO:0046872; GO:0051015; GO:0051371; GO:0051782; GO:0060298; GO:0071688
A2ASS6	TITIN_MOUSE	reviewed	Titin (EC 2.7.11.1) (Connectin)	Ttn	Mus musculus (Mouse)	35213	adult heart development [GO:0007512]; cardiac muscle contraction [GO:0060048]; cardiac muscle fiber development [GO:0048739]; cardiac muscle hypertrophy [GO:0003300]; cardiac muscle tissue morphogenesis [GO:0055008]; cardiac myofibril assembly [GO:0055003]; detection of muscle stretch [GO:0035995]; forward locomotion [GO:0043056]; heart development [GO:0007507]; heart growth [GO:0060419]; heart morphogenesis [GO:0003007]; in utero embryonic development [GO:0001701]; muscle contraction [GO:0006936]; positive regulation of gene expression [GO:0010628]; positive regulation of protein secretion [GO:0050714]; protein kinase A signaling [GO:0010737]; regulation of catalytic activity [GO:0050790]; regulation of protein kinase activity [GO:0045859]; regulation of relaxation of cardiac muscle [GO:1901897]; response to calcium ion [GO:0051592]; sarcomere organization [GO:0045214]; sarcomerogenesis [GO:0048769]; skeletal muscle myosin thick filament assembly [GO:0030241]; skeletal muscle thin filament assembly [GO:0030240]; somitogenesis [GO:0001756]; striated muscle cell development [GO:0055002]; striated muscle myosin thick filament assembly [GO:0071688]; ventricular system development [GO:0021591]	A band [GO:0031672]; I band [GO:0031674]; M band [GO:0031430]; Z disc [GO:0030018]; condensed nuclear chromosome [GO:0000794]; muscle myosin complex [GO:0005859]; myofibril [GO:0030016]; sarcomere [GO:0030017]; striated muscle thin filament [GO:0005865]	A band [GO:0031672]; condensed nuclear chromosome [GO:0000794]; I band [GO:0031674]; M band [GO:0031430]; muscle myosin complex [GO:0005859]; myofibril [GO:0030016]; sarcomere [GO:0030017]; striated muscle thin filament [GO:0005865]; Z disc [GO:0030018]; actin filament binding [GO:0051015]; actinin binding [GO:0042805]; ankyrin binding [GO:0030506]; ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; muscle alpha-actinin binding [GO:0051371]; protease binding [GO:0002020]; protein kinase binding [GO:0019901]; protein self-association [GO:0043621]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]; structural constituent of cytoskeleton [GO:0005200]; structural constituent of muscle [GO:0008307]; telethonin binding [GO:0031433]; adult heart development [GO:0007512]; cardiac muscle contraction [GO:0060048]; cardiac muscle fiber development [GO:0048739]; cardiac muscle hypertrophy [GO:0003300]; cardiac muscle tissue morphogenesis [GO:0055008]; cardiac myofibril assembly [GO:0055003]; detection of muscle stretch [GO:0035995]; forward locomotion [GO:0043056]; heart development [GO:0007507]; heart growth [GO:0060419]; heart morphogenesis [GO:0003007]; in utero embryonic development [GO:0001701]; muscle contraction [GO:0006936]; positive regulation of gene expression [GO:0010628]; positive regulation of protein secretion [GO:0050714]; protein kinase A signaling [GO:0010737]; regulation of catalytic activity [GO:0050790]; regulation of protein kinase activity [GO:0045859]; regulation of relaxation of cardiac muscle [GO:1901897]; response to calcium ion [GO:0051592]; sarcomere organization [GO:0045214]; sarcomerogenesis [GO:0048769]; skeletal muscle myosin thick filament assembly [GO:0030241]; skeletal muscle thin filament assembly [GO:0030240]; somitogenesis [GO:0001756]; striated muscle cell development [GO:0055002]; striated muscle myosin thick filament assembly [GO:0071688]; ventricular system development [GO:0021591]	ATP binding [GO:0005524]; actin filament binding [GO:0051015]; actinin binding [GO:0042805]; ankyrin binding [GO:0030506]; calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; muscle alpha-actinin binding [GO:0051371]; protease binding [GO:0002020]; protein kinase binding [GO:0019901]; protein self-association [GO:0043621]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]; structural constituent of cytoskeleton [GO:0005200]; structural constituent of muscle [GO:0008307]; telethonin binding [GO:0031433]	GO:0000794; GO:0001701; GO:0001756; GO:0002020; GO:0003007; GO:0003300; GO:0004674; GO:0004713; GO:0005200; GO:0005509; GO:0005516; GO:0005524; GO:0005859; GO:0005865; GO:0006936; GO:0007507; GO:0007512; GO:0008307; GO:0010628; GO:0010737; GO:0019899; GO:0019901; GO:0021591; GO:0030016; GO:0030017; GO:0030018; GO:0030240; GO:0030241; GO:0030506; GO:0031430; GO:0031433; GO:0031672; GO:0031674; GO:0035995; GO:0042802; GO:0042805; GO:0043056; GO:0043621; GO:0045214; GO:0045859; GO:0048739; GO:0048769; GO:0050714; GO:0050790; GO:0051015; GO:0051371; GO:0051592; GO:0055002; GO:0055003; GO:0055008; GO:0060048; GO:0060419; GO:0071688; GO:1901897
P33450	FAT_DROME	reviewed	Cadherin-related tumor suppressor (Protein fat) [Cleaved into: Ft-mito]	ft CG3352	Drosophila melanogaster (Fruit fly)	5147	Wnt signaling pathway, planar cell polarity pathway [GO:0060071]; calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cell morphogenesis involved in differentiation [GO:0000904]; cell population proliferation [GO:0008283]; cell-cell adhesion [GO:0098609]; cell-cell adhesion mediated by cadherin [GO:0044331]; equator specification [GO:0045317]; establishment of body hair planar orientation [GO:0048105]; establishment of epithelial cell apical/basal polarity [GO:0045198]; establishment of imaginal disc-derived wing hair orientation [GO:0001737]; establishment of ommatidial planar polarity [GO:0042067]; establishment of planar polarity [GO:0001736]; establishment of tissue polarity [GO:0007164]; establishment or maintenance of polarity of larval imaginal disc epithelium [GO:0016336]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; imaginal disc growth [GO:0007446]; imaginal disc pattern formation [GO:0007447]; imaginal disc-derived wing morphogenesis [GO:0007476]; microtubule cytoskeleton organization involved in establishment of planar polarity [GO:0090176]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of gene expression [GO:0010629]; negative regulation of growth [GO:0045926]; negative regulation of imaginal disc growth [GO:0045571]; negative regulation of organ growth [GO:0046621]; peptide cross-linking [GO:0018149]; positive regulation of apoptotic process [GO:0043065]; positive regulation of hippo signaling [GO:0035332]; protein localization involved in establishment of planar polarity [GO:0090251]; pupal development [GO:0035209]; regulation of growth [GO:0040008]; regulation of imaginal disc growth [GO:0045570]; regulation of protein localization [GO:0032880]; regulation of tube length, open tracheal system [GO:0035159]; tissue development [GO:0009888]; wing disc development [GO:0035220]	apical plasma membrane [GO:0016324]; apicolateral plasma membrane [GO:0016327]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]	apical plasma membrane [GO:0016324]; apicolateral plasma membrane [GO:0016327]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cell morphogenesis involved in differentiation [GO:0000904]; cell population proliferation [GO:0008283]; cell-cell adhesion [GO:0098609]; cell-cell adhesion mediated by cadherin [GO:0044331]; equator specification [GO:0045317]; establishment of body hair planar orientation [GO:0048105]; establishment of epithelial cell apical/basal polarity [GO:0045198]; establishment of imaginal disc-derived wing hair orientation [GO:0001737]; establishment of ommatidial planar polarity [GO:0042067]; establishment of planar polarity [GO:0001736]; establishment of tissue polarity [GO:0007164]; establishment or maintenance of polarity of larval imaginal disc epithelium [GO:0016336]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; imaginal disc growth [GO:0007446]; imaginal disc pattern formation [GO:0007447]; imaginal disc-derived wing morphogenesis [GO:0007476]; microtubule cytoskeleton organization involved in establishment of planar polarity [GO:0090176]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of gene expression [GO:0010629]; negative regulation of growth [GO:0045926]; negative regulation of imaginal disc growth [GO:0045571]; negative regulation of organ growth [GO:0046621]; peptide cross-linking [GO:0018149]; positive regulation of apoptotic process [GO:0043065]; positive regulation of hippo signaling [GO:0035332]; protein localization involved in establishment of planar polarity [GO:0090251]; pupal development [GO:0035209]; regulation of growth [GO:0040008]; regulation of imaginal disc growth [GO:0045570]; regulation of protein localization [GO:0032880]; regulation of tube length, open tracheal system [GO:0035159]; tissue development [GO:0009888]; wing disc development [GO:0035220]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]	cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]	GO:0000904; GO:0001736; GO:0001737; GO:0005509; GO:0005739; GO:0005886; GO:0005887; GO:0007156; GO:0007157; GO:0007164; GO:0007446; GO:0007447; GO:0007476; GO:0008283; GO:0008285; GO:0009888; GO:0010629; GO:0016021; GO:0016324; GO:0016327; GO:0016336; GO:0016339; GO:0018149; GO:0032880; GO:0035159; GO:0035209; GO:0035220; GO:0035332; GO:0040008; GO:0042067; GO:0043065; GO:0044331; GO:0045198; GO:0045296; GO:0045317; GO:0045570; GO:0045571; GO:0045926; GO:0046621; GO:0048105; GO:0060071; GO:0090176; GO:0090251; GO:0098609
P27085	RS26_OCTVU	reviewed	40S ribosomal protein S26	RPS26	Octopus vulgaris (Common octopus)	127	cytoplasmic translation [GO:0002181]	cytoplasmic side of rough endoplasmic reticulum membrane [GO:0098556]; cytosolic small ribosomal subunit [GO:0022627]; polysomal ribosome [GO:0042788]	cytoplasmic side of rough endoplasmic reticulum membrane [GO:0098556]; cytosolic small ribosomal subunit [GO:0022627]; polysomal ribosome [GO:0042788]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]	structural constituent of ribosome [GO:0003735]	GO:0002181; GO:0003735; GO:0022627; GO:0042788; GO:0098556
Q6PDN3	MYLK_MOUSE	reviewed	Myosin light chain kinase, smooth muscle (MLCK) (smMLCK) (EC 2.7.11.18) (Kinase-related protein) (KRP) (Telokin) [Cleaved into: Myosin light chain kinase, smooth muscle, deglutamylated form]	Mylk	Mus musculus (Mouse)	1941	aorta smooth muscle tissue morphogenesis [GO:0060414]; bleb assembly [GO:0032060]; cardiovascular system development [GO:0072358]; cellular hypotonic response [GO:0071476]; cellular response to calcium ion [GO:0071277]; cellular response to drug [GO:0035690]; cellular response to potassium ion [GO:0035865]; positive regulation of calcium ion transport [GO:0051928]; positive regulation of cell migration [GO:0030335]; positive regulation of wound healing [GO:0090303]; smooth muscle contraction [GO:0006939]; tonic smooth muscle contraction [GO:0014820]	actin cytoskeleton [GO:0015629]; cell-cell junction [GO:0005911]; cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; lamellipodium [GO:0030027]; plasma membrane [GO:0005886]; stress fiber [GO:0001725]	actin cytoskeleton [GO:0015629]; cell-cell junction [GO:0005911]; cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; lamellipodium [GO:0030027]; plasma membrane [GO:0005886]; stress fiber [GO:0001725]; actin binding [GO:0003779]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; enzyme binding [GO:0019899]; metal ion binding [GO:0046872]; myosin light chain kinase activity [GO:0004687]; protein kinase activity [GO:0004672]; aorta smooth muscle tissue morphogenesis [GO:0060414]; bleb assembly [GO:0032060]; cardiovascular system development [GO:0072358]; cellular hypotonic response [GO:0071476]; cellular response to calcium ion [GO:0071277]; cellular response to drug [GO:0035690]; cellular response to potassium ion [GO:0035865]; positive regulation of calcium ion transport [GO:0051928]; positive regulation of cell migration [GO:0030335]; positive regulation of wound healing [GO:0090303]; smooth muscle contraction [GO:0006939]; tonic smooth muscle contraction [GO:0014820]	ATP binding [GO:0005524]; actin binding [GO:0003779]; calmodulin binding [GO:0005516]; enzyme binding [GO:0019899]; metal ion binding [GO:0046872]; myosin light chain kinase activity [GO:0004687]; protein kinase activity [GO:0004672]	GO:0001725; GO:0003779; GO:0004672; GO:0004687; GO:0005516; GO:0005524; GO:0005737; GO:0005886; GO:0005911; GO:0006939; GO:0014820; GO:0015629; GO:0019899; GO:0030027; GO:0030335; GO:0032060; GO:0032154; GO:0035690; GO:0035865; GO:0046872; GO:0051928; GO:0060414; GO:0071277; GO:0071476; GO:0072358; GO:0090303
P46530	NOTC1_DANRE	reviewed	Neurogenic locus notch homolog protein 1 (Notch 1) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]	notch1a notch	Danio rerio (Zebrafish) (Brachydanio rerio)	2437	Notch signaling involved in heart development [GO:0061314]; Notch signaling pathway [GO:0007219]; angiogenesis [GO:0001525]; anterior/posterior pattern specification [GO:0009952]; cilium assembly [GO:0060271]; determination of left/right symmetry [GO:0007368]; dorsal aorta development [GO:0035907]; exocrine pancreas development [GO:0031017]; generation of neurons [GO:0048699]; habenula development [GO:0021986]; hematopoietic progenitor cell differentiation [GO:0002244]; hematopoietic stem cell differentiation [GO:0060218]; hypochord development [GO:0055016]; negative regulation of neurogenesis [GO:0050768]; neural plate development [GO:0001840]; pancreas development [GO:0031016]; peripheral nervous system neuron axonogenesis [GO:0048936]; positive regulation of mesodermal cell fate specification [GO:0048337]; regulation of endodermal cell fate specification [GO:0042663]; regulation of receptor-mediated endocytosis [GO:0048259]; regulation of transcription, DNA-templated [GO:0006355]; somatic motor neuron differentiation [GO:0021523]; somitogenesis [GO:0001756]; spinal cord radial glial cell differentiation [GO:0021531]; ventral spinal cord interneuron differentiation [GO:0021514]	integral component of membrane [GO:0016021]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; signaling receptor activity [GO:0038023]; angiogenesis [GO:0001525]; anterior/posterior pattern specification [GO:0009952]; cilium assembly [GO:0060271]; determination of left/right symmetry [GO:0007368]; dorsal aorta development [GO:0035907]; exocrine pancreas development [GO:0031017]; generation of neurons [GO:0048699]; habenula development [GO:0021986]; hematopoietic progenitor cell differentiation [GO:0002244]; hematopoietic stem cell differentiation [GO:0060218]; hypochord development [GO:0055016]; negative regulation of neurogenesis [GO:0050768]; neural plate development [GO:0001840]; Notch signaling involved in heart development [GO:0061314]; Notch signaling pathway [GO:0007219]; pancreas development [GO:0031016]; peripheral nervous system neuron axonogenesis [GO:0048936]; positive regulation of mesodermal cell fate specification [GO:0048337]; regulation of endodermal cell fate specification [GO:0042663]; regulation of receptor-mediated endocytosis [GO:0048259]; regulation of transcription, DNA-templated [GO:0006355]; somatic motor neuron differentiation [GO:0021523]; somitogenesis [GO:0001756]; spinal cord radial glial cell differentiation [GO:0021531]; ventral spinal cord interneuron differentiation [GO:0021514]	calcium ion binding [GO:0005509]; signaling receptor activity [GO:0038023]	GO:0001525; GO:0001756; GO:0001840; GO:0002244; GO:0005509; GO:0005634; GO:0005886; GO:0006355; GO:0007219; GO:0007368; GO:0009952; GO:0016021; GO:0021514; GO:0021523; GO:0021531; GO:0021986; GO:0031016; GO:0031017; GO:0035907; GO:0038023; GO:0042663; GO:0048259; GO:0048337; GO:0048699; GO:0048936; GO:0050768; GO:0055016; GO:0060218; GO:0060271; GO:0061314
Q9LQU4	PCR2_ARATH	reviewed	Protein PLANT CADMIUM RESISTANCE 2 (AtPCR2)	PCR2 At1g14870 F10B6.27	Arabidopsis thaliana (Mouse-ear cress)	152	response to oxidative stress [GO:0006979]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; response to oxidative stress [GO:0006979]		GO:0005886; GO:0006979; GO:0016021
A0JMU8	CASC3_XENLA	reviewed	Protein CASC3 (Cancer susceptibility candidate gene 3 protein homolog) (Metastatic lymph node protein 51 homolog) (Protein MLN 51 homolog) (XlMLN51)	casc3 mln51	Xenopus laevis (African clawed frog)	686	mRNA splicing, via spliceosome [GO:0000398]; mRNA transport [GO:0051028]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; regulation of translation [GO:0006417]	U2-type catalytic step 1 spliceosome [GO:0071006]; cytoplasmic stress granule [GO:0010494]; dendrite [GO:0030425]; exon-exon junction complex [GO:0035145]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]	cytoplasmic stress granule [GO:0010494]; dendrite [GO:0030425]; exon-exon junction complex [GO:0035145]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; U2-type catalytic step 1 spliceosome [GO:0071006]; RNA binding [GO:0003723]; mRNA splicing, via spliceosome [GO:0000398]; mRNA transport [GO:0051028]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; regulation of translation [GO:0006417]	RNA binding [GO:0003723]	GO:0000184; GO:0000398; GO:0003723; GO:0005634; GO:0006417; GO:0010494; GO:0016607; GO:0030425; GO:0035145; GO:0048471; GO:0051028; GO:0071006
