#
# Output is generated by GenSAS 7.x-5.0
#
#name     : mRNA
#start    : Start of alignment in subject
#end      : End of alignment in subject
#m_start  : Start of alignment in query
#m_end    : End of alignment in query
#al       : Alignment length
#score    : Row score of the match
#evalue   : E value of the match
#identity : Percentage of identical matches
mame	start	end	score	Accession	match_desc	m_start	m_end	E-value	identity	al
19763-Caligus.00g025570.m01	61	189	395	XP_018360127.1	PREDICTED: uncharacterized protein LOC108759269 [Trachymyrmex cornetzi]	39	167	1.12024e-46	55.81	129
19763-Caligus.00g025580.m01	76	321	583	XP_014480046.1	PREDICTED: uncharacterized protein LOC106747214 [Dinoponera quadriceps]	4	239	6.5631e-72	45.12	246
19763-Caligus.00g025600.m01	9	293	380	XP_019886946.1	PREDICTED: uncharacterized protein LOC109610920 [Ooceraea biroi]	1	254	1.0656e-41	35.54	287
19763-Caligus.00g025670.m01	1337	1400	146	XP_015524020.1	PREDICTED: uncharacterized protein LOC107227405 [Neodiprion lecontei]	4	68	1.71172e-10	47.69	65
19763-Caligus.00g025680.m01	1337	1400	150	XP_015524020.1	PREDICTED: uncharacterized protein LOC107227405 [Neodiprion lecontei]	4	68	5.14765e-11	47.69	65
19763-Caligus.00g025690.m01	615	679	263	XP_002400271.1	DEAD-box protein, putative [Ixodes scapularis]	2	66	1.97397e-26	67.69	65
19763-Caligus.00g025700.m01	1	529	1326	XP_023719983.1	protein HIRA isoform X2 [Cryptotermes secundus]	1	483	5.08787e-166	50.94	532
19763-Caligus.00g025710.m01	73	665	323	XP_018013379.1	PREDICTED: RNA-directed DNA polymerase from mobile element jockey-like [Hyalella azteca]	11	591	2.2436e-28	25.96	624
19763-Caligus.00g025750.m01	11	828	3119	XP_023327648.1	chloride transport protein 6-like [Eurytemora affinis]	1	848	0	73.94	848
19763-Caligus.00g025770.m01	82	162	254	XP_014772885.1	PREDICTED: uncharacterized protein LOC106871098 [Octopus bimaculoides]	40	119	4.82169e-26	56.79	81
19763-Caligus.00g025780.m01	9	69	121	XP_014782038.1	PREDICTED: uncharacterized protein LOC106877607 [Octopus bimaculoides]	10	69	9.40373e-08	49.18	61
19763-Caligus.00g025790.m01	26	322	439	XP_014480046.1	PREDICTED: uncharacterized protein LOC106747214 [Dinoponera quadriceps]	3	248	4.33618e-50	34.01	297
19763-Caligus.00g025880.m01	18	349	317	XP_011688788.1	PREDICTED: putative uncharacterized protein FLJ37770 [Wasmannia auropunctata]	36	350	3.79228e-31	27.65	340
19763-Caligus.00g025890.m01	114	219	264	XP_014772885.1	PREDICTED: uncharacterized protein LOC106871098 [Octopus bimaculoides]	3	95	6.87837e-28	48.11	106
19763-Caligus.00g025900.m01	16	237	591	XP_014775258.1	PREDICTED: uncharacterized protein LOC106872695 [Octopus bimaculoides]	1	222	1.68936e-73	52.25	222
19763-Caligus.00g025930.m01	16	237	578	XP_014775258.1	PREDICTED: uncharacterized protein LOC106872695 [Octopus bimaculoides]	1	222	1.80901e-71	51.35	222
19763-Caligus.00g025940.m01	292	370	232	XP_011707025.1	PREDICTED: uncharacterized protein LOC105462195 [Wasmannia auropunctata]	4	82	2.12385e-22	49.37	79
19763-Caligus.00g025960.m01	22	116	180	XP_009024978.1	hypothetical protein HELRODRAFT_178627 [Helobdella robusta]	103	201	1.00334e-12	34.34	99
19763-Caligus.00g026000.m01	10	220	263	XP_018311841.1	PREDICTED: uncharacterized protein LOC108727992 [Trachymyrmex zeteki]	2	184	1.9362e-26	33.18	211
19763-Caligus.00g026010.m01	20	352	440	XP_014775258.1	PREDICTED: uncharacterized protein LOC106872695 [Octopus bimaculoides]	14	338	3.47906e-49	34.93	335
19763-Caligus.00g026020.m01	61	302	300	XP_014768517.1	PREDICTED: uncharacterized protein LOC106867953 [Octopus bimaculoides]	40	254	3.32962e-30	31.30	246
19763-Caligus.00g026050.m01	211	317	215	XP_011863810.1	PREDICTED: uncharacterized protein LOC105559817 [Vollenhovia emeryi]	28	116	1.4438e-19	42.06	107
19763-Caligus.00g026080.m01	244	308	145	XP_026316211.1	histone-lysine N-methyltransferase SETMAR-like [Hyposmocoma kahamanoa]	16	85	5.4923e-10	45.71	70
19763-Caligus.00g026120.m01	616	783	269	XP_022180918.1	E3 SUMO-protein ligase KIAA1586-like [Myzus persicae]	1	167	1.51721e-25	36.26	171
19763-Caligus.00g026140.m01	709	863	233	XP_018353726.1	PREDICTED: uncharacterized protein LOC108755300 [Trachymyrmex septentrionalis]	5	151	9.82873e-21	36.13	155
19763-Caligus.00g026160.m01	35	107	169	XP_008481127.1	NECAP-like protein CG9132 isoform X1 [Diaphorina citri]	1	68	6.0339e-14	45.95	74
19763-Caligus.00g026170.m01	460	499	183	XP_023327327.1	uncharacterized protein LOC111700589 isoform X1 [Eurytemora affinis]	1	40	5.58889e-13	80.00	40
19763-Caligus.00g026220.m01	262	329	250	XP_025997123.1	uncharacterized protein LOC113005585, partial [Solenopsis invicta]	1	68	9.29497e-25	64.71	68
19763-Caligus.00g026240.m01	66	148	182	XP_026322204.1	histone-lysine N-methyltransferase SETMAR-like [Hyposmocoma kahamanoa]	2	84	4.12606e-15	45.78	83
19763-Caligus.00g026250.m01	66	239	670	XP_009014849.1	hypothetical protein HELRODRAFT_184669 [Helobdella robusta]	1	174	9.5498e-88	66.09	174
19763-Caligus.00g026300.m01	1337	1400	150	XP_015524020.1	PREDICTED: uncharacterized protein LOC107227405 [Neodiprion lecontei]	4	68	5.14765e-11	47.69	65
19763-Caligus.00g026330.m01	120	219	222	XP_025997123.1	uncharacterized protein LOC113005585, partial [Solenopsis invicta]	2	100	5.55221e-20	44.00	100
19763-Caligus.00g026350.m01	292	370	229	XP_011707025.1	PREDICTED: uncharacterized protein LOC105462195 [Wasmannia auropunctata]	4	82	7.28595e-22	50.63	79
19763-Caligus.00g026360.m01	70	342	576	XP_021935995.1	uncharacterized protein LOC110837781 [Zootermopsis nevadensis]	28	292	3.62752e-70	45.79	273
19763-Caligus.00g026370.m01	5	56	181	XP_022303455.1	glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic-like [Crassostrea virginica]	3	54	2.04792e-15	69.23	52
19763-Caligus.00g026390.m01	22	116	180	XP_009024978.1	hypothetical protein HELRODRAFT_178627 [Helobdella robusta]	103	201	1.00334e-12	34.34	99
19763-Caligus.00g026410.m01	1337	1400	150	XP_015524020.1	PREDICTED: uncharacterized protein LOC107227405 [Neodiprion lecontei]	4	68	5.56602e-11	47.69	65
19763-Caligus.00g026420.m01	1	178	204	XP_026760939.1	histone-lysine N-methyltransferase SETMAR-like [Galleria mellonella]	1	176	1.74268e-16	30.17	179
19763-Caligus.00g026430.m01	29	128	405	XP_023347071.1	uncharacterized protein LOC111715904 [Eurytemora affinis]	1	100	2.55838e-50	71.00	100
19763-Caligus.00g026440.m01	275	494	288	XP_025201805.1	protein ZBED8-like [Melanaphis sacchari]	3	197	5.85191e-28	35.00	220
19763-Caligus.00g026450.m01	77	321	677	XP_019874789.1	PREDICTED: tigger transposable element-derived protein 1-like [Aethina tumida]	2	244	3.05759e-84	52.03	246
19763-Caligus.00g026460.m01	107	219	164	XP_015921938.1	tigger transposable element-derived protein 1-like [Parasteatoda tepidariorum]	1	122	3.98141e-12	37.70	122
19763-Caligus.00g026480.m01	120	204	173	XP_017786785.1	PREDICTED: synaptic functional regulator FMR1-like isoform X3 [Nicrophorus vespilloides]	2	87	7.1157e-14	40.70	86
19763-Caligus.00g026500.m01	339	460	150	XP_014674225.1	PREDICTED: uncharacterized protein K02A2.6-like isoform X2 [Priapulus caudatus]	14	139	5.13271e-10	35.16	128
19763-Caligus.00g026520.m01	136	533	1015	XP_026475737.1	general transcription factor II-I repeat domain-containing protein 2-like, partial [Ctenocephalides felis]	25	403	7.41492e-131	50.00	402
19763-Caligus.00g026530.m01	8	301	912	XP_019886946.1	PREDICTED: uncharacterized protein LOC109610920 [Ooceraea biroi]	2	289	3.66908e-121	57.29	295
19763-Caligus.00g026540.m01	26	191	562	XP_023330297.1	RNA-binding protein squid-like isoform X2 [Eurytemora affinis]	26	189	6.67496e-69	62.65	166
19763-Caligus.00g026550.m01	28	107	176	XP_023216833.1	uncharacterized protein LOC111619356 [Centruroides sculpturatus]	25	104	3.19721e-14	42.50	80
19763-Caligus.00g026570.m01	13	148	174	XP_025836863.1	protein GVQW3-like, partial [Agrilus planipennis]	17	154	8.43962e-14	31.65	139
19763-Caligus.00g026590.m01	10	162	319	XP_002423653.1	transcription initiation factor TFIID subunit, putative [Pediculus humanus corporis]	4	147	9.85296e-35	43.40	159
19763-Caligus.00g026610.m01	361	444	164	XP_023345147.1	uncharacterized protein LOC111714302 isoform X1 [Eurytemora affinis]	15	102	3.54089e-12	38.64	88
19763-Caligus.00g026630.m01	920	1043	156	XP_018329940.1	exportin-5 [Agrilus planipennis]	1	115	7.32785e-11	37.30	126
19763-Caligus.00g026640.m01	279	637	412	XP_023329263.1	LOW QUALITY PROTEIN: RNA polymerase II subunit A C-terminal domain phosphatase-like [Eurytemora affinis]	31	316	6.67035e-42	61.42	127
19763-Caligus.00g026650.m01	18	247	566	XP_002428378.1	RNA polymerase II ctd phosphatase, putative [Pediculus humanus corporis]	15	229	1.16086e-65	53.39	236
19763-Caligus.00g026680.m01	103	204	314	XP_014775258.1	PREDICTED: uncharacterized protein LOC106872695 [Octopus bimaculoides]	1	102	7.68817e-34	56.86	102
19763-Caligus.00g026700.m01	17	168	135	XP_015794241.1	histone-lysine N-methyltransferase SETMAR-like [Tetranychus urticae]	17	129	3.2181e-08	26.14	153
19763-Caligus.00g026720.m01	120	245	224	XP_018344906.1	PREDICTED: uncharacterized protein LOC108750144 [Trachymyrmex septentrionalis]	74	197	2.77847e-20	35.71	126
19763-Caligus.00g026740.m01	84	256	300	XP_003099082.1	hypothetical protein CRE_27721 [Caenorhabditis remanei]	1	153	3.94874e-31	39.08	174
19763-Caligus.00g026750.m01	66	217	319	XP_014772885.1	PREDICTED: uncharacterized protein LOC106871098 [Octopus bimaculoides]	1	151	3.01709e-35	36.84	152
19763-Caligus.00g026760.m01	313	403	220	XP_023343482.1	myc protein-like [Eurytemora affinis]	90	180	1.62048e-18	51.65	91
19763-Caligus.00g026790.m01	59	242	298	XP_015603808.1	synaptic functional regulator FMR1 isoform X6 [Cephus cinctus]	4	184	2.04116e-29	37.17	191
19763-Caligus.00g026800.m01	164	220	138	XP_018311841.1	PREDICTED: uncharacterized protein LOC108727992 [Trachymyrmex zeteki]	7	63	8.00717e-10	47.37	57
19763-Caligus.00g026810.m01	16	107	189	XP_014768890.1	PREDICTED: uncharacterized protein LOC106868207 [Octopus bimaculoides]	1	92	6.94165e-17	45.65	92
19763-Caligus.00g026820.m01	16	105	166	XP_014775258.1	PREDICTED: uncharacterized protein LOC106872695 [Octopus bimaculoides]	1	91	1.45864e-12	45.05	91
19763-Caligus.00g026860.m01	165	233	219	XP_014775258.1	PREDICTED: uncharacterized protein LOC106872695 [Octopus bimaculoides]	2	70	9.91878e-21	57.97	69
19763-Caligus.00g026880.m01	659	705	119	XP_002112672.1	hypothetical protein TRIADDRAFT_56945 [Trichoplax adhaerens]	3	49	3.93471e-07	42.55	47
19763-Caligus.00g026890.m01	111	174	117	XP_018311841.1	PREDICTED: uncharacterized protein LOC108727992 [Trachymyrmex zeteki]	4	51	6.49509e-07	40.62	64
19763-Caligus.00g026900.m01	83	343	1219	XP_018320785.1	AP-3 complex subunit delta isoform X2 [Agrilus planipennis]	1	261	1.53328e-160	86.59	261
19763-Caligus.00g026910.m01	507	803	335	XP_021362271.1	AP-3 complex subunit delta-1-like isoform X3 [Mizuhopecten yessoensis]	4	328	1.14837e-30	33.63	336
19763-Caligus.00g026920.m01	126	456	819	XP_019548346.1	PREDICTED: PHD finger protein 14-like [Aedes albopictus]	62	401	4.45245e-97	48.12	345
19763-Caligus.00g026930.m01	473	663	317	XP_023314177.1	PHD finger protein 14 [Trichogramma pretiosum]	1	179	2.72043e-29	37.56	197
19763-Caligus.00g026940.m01	133	329	591	XP_025997123.1	uncharacterized protein LOC113005585, partial [Solenopsis invicta]	32	230	6.77976e-73	53.27	199
19763-Caligus.00g026960.m01	38	139	159	XP_012224925.1	PREDICTED: uncharacterized protein LOC105673693 [Linepithema humile]	12	102	4.50578e-12	35.29	102
19763-Caligus.00g026980.m01	10	458	397	XP_015777278.1	PREDICTED: RNA-directed DNA polymerase from mobile element jockey-like [Acropora digitifera]	342	789	1.33372e-37	28.35	455
19763-Caligus.00g026990.m01	55	299	301	XP_019886946.1	PREDICTED: uncharacterized protein LOC109610920 [Ooceraea biroi]	40	257	4.3071e-30	32.13	249
19763-Caligus.00g027010.m01	1	159	440	XP_023323742.1	uncharacterized protein LOC111697844 isoform X1 [Eurytemora affinis]	1	146	6.97472e-49	68.55	159
19763-Caligus.00g027030.m01	213	323	168	XP_023336907.1	nucleolin-like [Eurytemora affinis]	1	110	2.59701e-12	41.59	113
19763-Caligus.00g027060.m01	33	88	124	XP_018338328.1	PREDICTED: uncharacterized protein LOC108746204 [Trachymyrmex septentrionalis]	2	57	2.91082e-08	41.07	56
19763-Caligus.00g027070.m01	238	293	201	XP_011135173.1	uncharacterized protein LOC105180667 [Harpegnathos saltator]	1	56	2.80498e-18	58.93	56
19763-Caligus.00g027080.m01	160	791	405	XP_015757462.1	PREDICTED: RNA-directed DNA polymerase from mobile element jockey-like [Acropora digitifera]	62	681	1.34034e-38	25.98	662
19763-Caligus.00g027090.m01	118	205	327	XP_009014849.1	hypothetical protein HELRODRAFT_184669 [Helobdella robusta]	1	88	2.42775e-37	64.77	88
19763-Caligus.00g027110.m01	15	121	215	XP_003370059.1	conserved hypothetical protein [Trichinella spiralis]	6	112	5.03837e-19	40.19	107
19763-Caligus.00g027120.m01	117	192	155	XP_026746120.1	uncharacterized protein LOC113507469 [Trichoplusia ni]	1	76	6.3107e-12	36.84	76
19763-Caligus.00g027150.m01	22	275	419	XP_009024978.1	hypothetical protein HELRODRAFT_178627 [Helobdella robusta]	242	588	4.96441e-44	33.72	347
19763-Caligus.00g027160.m01	1166	1399	487	XP_018895668.1	PREDICTED: apoptosis-stimulating of p53 protein 1 isoform X2 [Bemisia tabaci]	1	230	1.25377e-53	59.00	239
19763-Caligus.00g027190.m01	17	120	163	XP_011135173.1	uncharacterized protein LOC105180667 [Harpegnathos saltator]	1	100	2.36125e-12	32.69	104
19763-Caligus.00g027200.m01	238	351	322	XP_017793474.1	PREDICTED: uncharacterized protein LOC108575239 [Habropoda laboriosa]	1	114	5.60495e-35	50.88	114
19763-Caligus.00g027210.m01	7	120	404	XP_023347855.1	uncharacterized protein LOC111716616 [Eurytemora affinis]	8	121	4.2145e-49	64.04	114
19763-Caligus.00g027220.m01	563	677	178	XP_014205573.1	tetratricopeptide repeat protein 27 [Copidosoma floridanum]	1	120	4.68633e-14	37.50	120
19763-Caligus.00g027230.m01	455	584	426	XP_023341043.1	uncharacterized protein LOC111711040 [Eurytemora affinis]	1	130	2.93556e-47	56.15	130
19763-Caligus.00g027330.m01	61	134	145	XP_023027047.1	histone-lysine N-methyltransferase SETMAR-like, partial [Leptinotarsa decemlineata]	23	96	4.13981e-10	37.84	74
19763-Caligus.00g027360.m01	131	219	247	XP_014772885.1	PREDICTED: uncharacterized protein LOC106871098 [Octopus bimaculoides]	6	94	3.23946e-25	49.44	89
19763-Caligus.00g027380.m01	212	540	355	XP_011663659.1	PREDICTED: RNA-directed DNA polymerase from mobile element jockey-like [Strongylocentrotus purpuratus]	121	454	1.75318e-33	30.38	339
19763-Caligus.00g027390.m01	20	346	425	XP_014775258.1	PREDICTED: uncharacterized protein LOC106872695 [Octopus bimaculoides]	2	320	2.8758e-47	34.95	329
19763-Caligus.00g027400.m01	36	103	133	XP_012554132.1	PREDICTED: uncharacterized protein LOC105843381 [Hydra vulgaris]	1	68	7.83636e-09	38.24	68
19763-Caligus.00g027410.m01	22	510	450	XP_015777278.1	PREDICTED: RNA-directed DNA polymerase from mobile element jockey-like [Acropora digitifera]	174	644	7.70959e-45	28.03	503
19763-Caligus.00g027440.m01	77	134	122	XP_013117959.1	PREDICTED: protein scylla-like, partial [Stomoxys calcitrans]	3	61	3.64756e-07	42.37	59
19763-Caligus.00g027450.m01	240	319	290	XP_013164143.1	PREDICTED: uncharacterized protein LOC106115327 [Papilio xuthus]	1	80	6.31419e-30	65.00	80
19763-Caligus.00g027460.m01	121	213	193	XP_017475863.1	PREDICTED: uncharacterized protein LOC108366087 [Rhagoletis zephyria]	1	90	2.34734e-17	49.47	95
19763-Caligus.00g027470.m01	198	242	185	XP_011505399.1	PREDICTED: kinesin-like protein KIF13A [Ceratosolen solmsi marchali]	1	45	2.80011e-16	82.22	45
19763-Caligus.00g027490.m01	8	76	151	XP_018311841.1	PREDICTED: uncharacterized protein LOC108727992 [Trachymyrmex zeteki]	2	84	2.72516e-11	39.76	83
19763-Caligus.00g027500.m01	25	3898	13246	XP_023327334.1	transformation/transcription domain-associated protein-like [Eurytemora affinis]	15	3783	0	66.90	3976
19763-Caligus.00g027520.m01	63	324	879	XP_021953884.1	probable phospholipid-transporting ATPase IA isoform X2 [Folsomia candida]	14	281	9.25141e-107	63.20	269
19763-Caligus.00g027530.m01	385	894	1530	XP_018568739.1	probable phospholipid-transporting ATPase IA isoform X1 [Anoplophora glabripennis]	1	516	0	57.80	519
19763-Caligus.00g027550.m01	1148	1272	267	XP_023168805.1	probable phospholipid-transporting ATPase IA isoform X1 [Drosophila hydei]	1	128	9.26015e-26	42.75	131
19763-Caligus.00g027600.m01	188	332	299	XP_003135849.1	TTK protein kinase [Loa loa]	4	126	1.27494e-29	46.21	145
19763-Caligus.00g027630.m01	1	75	294	XP_017489579.1	PREDICTED: activator of 90 kDa heat shock protein ATPase homolog 1-like [Rhagoletis zephyria]	1	75	2.55735e-31	70.67	75
19763-Caligus.00g027640.m01	109	348	537	XP_023340521.1	activator of 90 kDa heat shock protein ATPase homolog 1-like isoform X1 [Eurytemora affinis]	1	241	4.64122e-65	46.47	241
19763-Caligus.00g027670.m01	8	238	419	XP_019886946.1	PREDICTED: uncharacterized protein LOC109610920 [Ooceraea biroi]	2	188	1.47732e-48	41.38	232
19763-Caligus.00g027690.m01	8	114	345	XP_023321170.1	tRNA selenocysteine 1-associated protein 1-like [Eurytemora affinis]	39	155	3.25491e-37	59.83	117
19763-Caligus.00g027770.m01	361	467	248	XP_002425984.1	Disheveled-associated activator of morphogenesis, putative [Pediculus humanus corporis]	1	107	1.33491e-23	61.68	107
19763-Caligus.00g027780.m01	25	117	360	XP_023347090.1	MAGUK p55 subfamily member 5-like [Eurytemora affinis]	2	98	3.40511e-40	77.32	97
19763-Caligus.00g027790.m01	404	448	187	XP_023347090.1	MAGUK p55 subfamily member 5-like [Eurytemora affinis]	1	45	1.73834e-16	73.33	45
19763-Caligus.00g027800.m01	162	227	130	XP_014784635.1	PREDICTED: uncharacterized protein LOC106879525 [Octopus bimaculoides]	38	100	3.90683e-07	40.91	66
19763-Caligus.00g027840.m01	10	220	326	XP_018311841.1	PREDICTED: uncharacterized protein LOC108727992 [Trachymyrmex zeteki]	2	179	6.97086e-36	34.12	211
19763-Caligus.00g027850.m01	111	411	925	XP_011296803.1	PREDICTED: voltage-dependent L-type calcium channel subunit beta-1 isoform X2 [Fopius arisanus]	31	370	4.525e-118	55.52	344
19763-Caligus.00g027860.m01	66	161	207	XP_014772885.1	PREDICTED: uncharacterized protein LOC106871098 [Octopus bimaculoides]	1	95	1.95314e-19	41.67	96
19763-Caligus.00g027870.m01	124	332	364	XP_023334973.1	CCAAT/enhancer-binding protein-like [Eurytemora affinis]	1	198	5.91563e-40	52.09	215
19763-Caligus.00g027880.m01	21	188	361	XP_018360127.1	PREDICTED: uncharacterized protein LOC108759269 [Trachymyrmex cornetzi]	4	170	1.68579e-41	44.05	168
19763-Caligus.00g027890.m01	72	481	1835	XP_015923358.1	SCAN domain-containing protein 3-like [Parasteatoda tepidariorum]	1	442	0	79.41	442
19763-Caligus.00g027900.m01	208	344	283	XP_021927704.1	GATOR complex protein WDR59-like isoform X3 [Zootermopsis nevadensis]	1	163	7.59242e-27	39.88	163
19763-Caligus.00g027910.m01	66	187	218	XP_014772885.1	PREDICTED: uncharacterized protein LOC106871098 [Octopus bimaculoides]	1	121	1.21738e-20	34.43	122
19763-Caligus.00g027990.m01	397	804	596	XP_015770411.1	PREDICTED: uncharacterized protein K02A2.6-like [Acropora digitifera]	20	410	7.08708e-66	35.77	411
19763-Caligus.00g028000.m01	149	370	260	XP_014677177.1	PREDICTED: uncharacterized protein K02A2.6-like [Priapulus caudatus]	2	214	2.70275e-24	35.65	230
19763-Caligus.00g028040.m01	16	96	152	XP_014775258.1	PREDICTED: uncharacterized protein LOC106872695 [Octopus bimaculoides]	1	81	3.90834e-11	43.21	81
19763-Caligus.00g028110.m01	379	434	198	XP_003388006.1	PREDICTED: obg-like ATPase 1 isoform X1 [Amphimedon queenslandica]	1	56	7.99374e-18	85.71	56
19763-Caligus.00g028130.m01	120	217	306	XP_017881458.1	pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial [Ceratina calcarata]	2	99	1.4044e-31	53.06	98
19763-Caligus.00g028140.m01	189	284	262	XP_003099082.1	hypothetical protein CRE_27721 [Caenorhabditis remanei]	1	96	1.3822e-26	48.45	97
19763-Caligus.00g028160.m01	8	92	165	XP_019886946.1	PREDICTED: uncharacterized protein LOC109610920 [Ooceraea biroi]	2	87	7.1832e-13	44.19	86
19763-Caligus.00g028170.m01	143	248	420	XP_019886946.1	PREDICTED: uncharacterized protein LOC109610920 [Ooceraea biroi]	1	106	8.33319e-50	66.04	106
19763-Caligus.00g028190.m01	434	541	214	XP_009051156.1	hypothetical protein LOTGIDRAFT_174307 [Lottia gigantea]	5	112	9.69056e-19	37.04	108
19763-Caligus.00g028220.m01	260	430	401	XP_009024025.1	hypothetical protein HELRODRAFT_177629 [Helobdella robusta]	1	150	4.32321e-45	47.37	171
19763-Caligus.00g028230.m01	90	141	121	XP_018364731.1	PREDICTED: uncharacterized protein LOC108762295, partial [Trachymyrmex cornetzi]	1	52	7.15256e-07	48.08	52
19763-Caligus.00g028290.m01	1	216	545	XP_012215248.1	PREDICTED: UPF0428 protein CXorf56 homolog [Linepithema humile]	1	219	2.34767e-68	59.28	221
19763-Caligus.00g028300.m01	1	136	701	XP_023030471.1	histone H3 [Leptinotarsa decemlineata]	1	136	1.01943e-94	100.00	136
19763-Caligus.00g028330.m01	57	106	197	XP_023242650.1	glucose-6-phosphate isomerase-like [Centruroides sculpturatus]	1	50	7.8369e-18	72.00	50
19763-Caligus.00g028340.m01	176	239	214	XP_011433138.1	PREDICTED: glucose-6-phosphate isomerase [Crassostrea gigas]	1	64	6.88636e-20	82.81	64
19763-Caligus.00g028350.m01	744	794	196	XP_001900986.1	glucose phosphate isomerase a [Brugia malayi]	1	51	1.37348e-17	70.59	51
19763-Caligus.00g028360.m01	15	1236	1668	XP_013411023.1	uncharacterized protein K02A2.6 [Lingula anatina]	77	1287	0	32.78	1257
19763-Caligus.00g028390.m01	9	119	161	XP_026816488.1	protein GVQW3-like [Rhopalosiphum maidis]	5	115	1.58224e-12	32.43	111
19763-Caligus.00g028400.m01	17	466	853	XP_009028452.1	hypothetical protein HELRODRAFT_180908 [Helobdella robusta]	17	457	3.8576e-107	44.30	456
19763-Caligus.00g028420.m01	305	357	254	XP_023326744.1	KH domain-containing, RNA-binding, signal transduction-associated protein 3-like [Eurytemora affinis]	1	53	1.41541e-23	86.79	53
19763-Caligus.00g028450.m01	1	211	157	XP_013162605.1	PREDICTED: zinc finger protein 845-like [Papilio xuthus]	3	247	1.19705e-09	22.80	250
19763-Caligus.00g028470.m01	25	494	378	XP_015777278.1	PREDICTED: RNA-directed DNA polymerase from mobile element jockey-like [Acropora digitifera]	14	467	5.40819e-36	27.71	480
19763-Caligus.00g028490.m01	107	216	365	XP_014772885.1	PREDICTED: uncharacterized protein LOC106871098 [Octopus bimaculoides]	3	112	1.25656e-42	57.27	110
19763-Caligus.00g028540.m01	229	312	233	XP_011707025.1	PREDICTED: uncharacterized protein LOC105462195 [Wasmannia auropunctata]	1	83	2.16537e-22	45.24	84
19763-Caligus.00g028560.m01	2	504	929	XP_016665180.1	PREDICTED: uncharacterized protein LOC107885924 [Acyrthosiphon pisum]	114	593	4.4655e-115	40.87	504
19763-Caligus.00g028570.m01	158	253	226	XP_009018031.1	hypothetical protein HELRODRAFT_173173 [Helobdella robusta]	1	96	1.06191e-21	44.79	96
19763-Caligus.00g028580.m01	855	1393	1576	XP_018494723.1	PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC100903605, partial [Galendromus occidentalis]	1	539	0	55.80	543
19763-Caligus.00g028670.m01	1	65	141	XP_014240323.1	zinc finger protein 43 isoform X1 [Cimex lectularius]	1	59	3.6149e-08	44.62	65
19763-Caligus.00g028710.m01	16	113	177	XP_014775258.1	PREDICTED: uncharacterized protein LOC106872695 [Octopus bimaculoides]	1	98	2.47296e-14	40.82	98
19763-Caligus.00g028720.m01	3	204	624	XP_014772885.1	PREDICTED: uncharacterized protein LOC106871098 [Octopus bimaculoides]	2	203	1.82081e-80	55.94	202
19763-Caligus.00g028730.m01	16	239	564	XP_014775258.1	PREDICTED: uncharacterized protein LOC106872695 [Octopus bimaculoides]	1	224	2.02528e-69	49.55	224
19763-Caligus.00g028740.m01	131	219	232	XP_014772885.1	PREDICTED: uncharacterized protein LOC106871098 [Octopus bimaculoides]	6	94	3.40785e-23	48.31	89
19763-Caligus.00g028770.m01	17	93	155	XP_015794241.1	histone-lysine N-methyltransferase SETMAR-like [Tetranychus urticae]	17	93	1.89342e-11	35.06	77
19763-Caligus.00g028780.m01	1	328	948	XP_011263146.2	uncharacterized protein LOC105255530 [Camponotus floridanus]	1	331	4.11016e-126	60.42	331
19763-Caligus.00g028800.m01	96	234	141	XP_025997733.1	protein GVQW3-like [Solenopsis invicta]	1	138	1.94272e-08	29.08	141
19763-Caligus.00g028810.m01	169	224	177	XP_018307614.1	PREDICTED: uncharacterized protein LOC108725224 [Trachymyrmex zeteki]	1	56	1.45697e-15	57.14	56
19763-Caligus.00g028820.m01	484	961	439	XP_792312.2	PREDICTED: uncharacterized protein LOC587493 [Strongylocentrotus purpuratus]	4	485	3.62505e-44	28.80	493
19763-Caligus.00g028840.m01	115	849	722	XP_015766164.1	PREDICTED: uncharacterized protein K02A2.6-like [Acropora digitifera]	159	910	3.11474e-79	28.15	785
19763-Caligus.00g028850.m01	480	939	616	XP_011683484.1	PREDICTED: uncharacterized protein K02A2.6-like [Strongylocentrotus purpuratus]	4	474	2.25347e-68	34.74	475
19763-Caligus.00g028860.m01	523	642	177	XP_022294846.1	uncharacterized protein K02A2.6-like [Crassostrea virginica]	7	116	2.69747e-13	37.50	120
19763-Caligus.00g028890.m01	101	200	175	XP_011682312.1	PREDICTED: uncharacterized protein K02A2.6-like [Strongylocentrotus purpuratus]	68	177	1.57121e-12	39.32	117
19763-Caligus.00g028910.m01	49	129	189	XP_018360127.1	PREDICTED: uncharacterized protein LOC108759269 [Trachymyrmex cornetzi]	6	86	5.72832e-17	48.15	81
19763-Caligus.00g028930.m01	33	192	234	XP_020913141.1	uncharacterized protein K02A2.6-like [Exaiptasia pallida]	2	159	7.84489e-21	37.42	163
19763-Caligus.00g028940.m01	23	598	404	XP_015777578.1	PREDICTED: uncharacterized protein K02A2.6-like [Acropora digitifera]	61	632	1.28293e-38	24.17	633
19763-Caligus.00g028960.m01	865	1103	239	XP_026729590.1	uncharacterized protein LOC113495180 [Trichoplusia ni]	4	238	2.33622e-19	28.93	242
