Entry	Entry name	Protein names	Gene ontology (biological process)
Q9M2Z8	MPCP2_ARATH	"Mitochondrial phosphate carrier protein 2, mitochondrial (Mitochondrial phosphate transporter 2) (MPT2) (Phosphate transporter 3;2)"	phosphate ion transmembrane transport [GO:0035435]; response to salt stress [GO:0009651]
Q63ZW2	MC25A_DANRE	MICOS complex subunit mic25a (Coiled-coil-helix-coiled-coil-helix domain-containing protein 6)	cellular response to DNA damage stimulus [GO:0006974]; cristae formation [GO:0042407]
O60229	KALRN_HUMAN	Kalirin (EC 2.7.11.1) (Huntingtin-associated protein-interacting protein) (Protein Duo) (Serine/threonine-protein kinase with Dbl- and pleckstrin homology domain)	G protein-coupled receptor signaling pathway [GO:0007186]; adult locomotory behavior [GO:0008344]; ephrin receptor signaling pathway [GO:0048013]; habituation [GO:0046959]; intracellular signal transduction [GO:0035556]; lactation [GO:0007595]; maternal behavior [GO:0042711]; maternal process involved in parturition [GO:0060137]; memory [GO:0007613]; negative regulation of growth hormone secretion [GO:0060125]; nervous system development [GO:0007399]; neuromuscular junction development [GO:0007528]; positive regulation of GTPase activity [GO:0043547]; positive regulation of apoptotic process [GO:0043065]; positive regulation of dendritic spine morphogenesis [GO:0061003]; protein phosphorylation [GO:0006468]; regulation of Rho protein signal transduction [GO:0035023]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]; social behavior [GO:0035176]; vesicle-mediated transport [GO:0016192]
Q9CA40	NUDT1_ARATH	"Nudix hydrolase 1 (AtNUDT1) (7,8-dihydro-8-oxoguanine-triphosphatase) (8-oxo-dGTP diphosphatase) (8-oxo-dGTPase) (EC 3.6.1.55) (Dihydroneopterin triphosphate diphosphatase) (EC 3.6.1.67) (Dihydroneopterin triphosphate pyrophosphohydrolase) (DHNTP pyrophosphohydrolase) (NADH pyrophosphatase) (EC 3.6.1.22)"	cellular response to DNA damage stimulus [GO:0006974]; dGTP catabolic process [GO:0006203]
Q9W0K0	JIP1_DROME	JNK-interacting protein 1 (JIP-1) (APP-like-interacting protein 1) (APLIP1) (Protein eye developmental SP512)	JNK cascade [GO:0007254]; anterograde synaptic vesicle transport [GO:0048490]; axonal transport of mitochondrion [GO:0019896]; multicellular organism development [GO:0007275]; regulation of JNK cascade [GO:0046328]; regulation of terminal button organization [GO:2000331]; retrograde synaptic vesicle transport [GO:0048491]
Q9BSQ5	CCM2_HUMAN	Cerebral cavernous malformations 2 protein (Malcavernin)	blood vessel endothelial cell differentiation [GO:0060837]; cell-cell junction organization [GO:0045216]; endothelial cell development [GO:0001885]; endothelial tube morphogenesis [GO:0061154]; in utero embryonic development [GO:0001701]; inner ear development [GO:0048839]; integrin-mediated signaling pathway [GO:0007229]; multicellular organism growth [GO:0035264]; pericardium development [GO:0060039]; stress-activated MAPK cascade [GO:0051403]; vasculogenesis [GO:0001570]; venous blood vessel morphogenesis [GO:0048845]
Q8BY35	FGD2_MOUSE	"FYVE, RhoGEF and PH domain-containing protein 2"	positive regulation of JUN kinase activity [GO:0043507]; regulation of Rho protein signal transduction [GO:0035023]
P27622	TAGC_BACSU	Putative major teichoic acid biosynthesis protein C	cell wall organization [GO:0071555]; teichoic acid biosynthetic process [GO:0019350]
B0UWR3	DNAJ_HISS2	Chaperone protein DnaJ	DNA replication [GO:0006260]; protein folding [GO:0006457]; response to heat [GO:0009408]
Q6AYU1	MO4L1_RAT	Mortality factor 4-like protein 1 (MORF-related gene 15 protein) (Transcription factor-like protein MRG15)	cell population proliferation [GO:0008283]; chromatin silencing [GO:0006342]; double-strand break repair via homologous recombination [GO:0000724]; histone H2A acetylation [GO:0043968]; histone H4 acetylation [GO:0043967]; histone acetylation [GO:0016573]; histone deacetylation [GO:0016575]; regulation of growth [GO:0040008]
P35792	PR12_HORVU	Pathogenesis-related protein PRB1-2	defense response [GO:0006952]; response to biotic stimulus [GO:0009607]
Q54RD4	DPOE1_DICDI	DNA polymerase epsilon catalytic subunit A (EC 2.7.7.7) (DNA polymerase II subunit A)	"DNA replication proofreading [GO:0045004]; base-excision repair, gap-filling [GO:0006287]; leading strand elongation [GO:0006272]; mitotic cell cycle [GO:0000278]; nucleotide-excision repair [GO:0006289]; nucleotide-excision repair, DNA gap filling [GO:0006297]"
O76360	EGL4_CAEEL	cGMP-dependent protein kinase egl-4 (EC 2.7.11.12) (Egg-laying defective protein 4)	chemosensory behavior [GO:0007635]; chemotaxis [GO:0006935]; chemotropism [GO:0043577]; determination of adult lifespan [GO:0008340]; insulin receptor signaling pathway [GO:0008286]; larval feeding behavior [GO:0030536]; negative regulation of cGMP-mediated signaling [GO:0010754]; negative regulation of calcium-mediated signaling [GO:0050849]; negative regulation of cell growth [GO:0030308]; negative regulation of cyclic nucleotide-gated ion channel activity [GO:1902160]; negative regulation of dauer larval development [GO:0061067]; negative regulation of multicellular organism growth [GO:0040015]; negative regulation of organ growth [GO:0046621]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; olfactory learning [GO:0008355]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of cGMP-mediated signaling [GO:0010753]; positive regulation of cellular response to alcohol [GO:1905959]; positive regulation of chemotaxis [GO:0050921]; positive regulation of cyclic-nucleotide phosphodiesterase activity [GO:0051343]; positive regulation of oviposition [GO:1901046]; process resulting in tolerance to alcohol [GO:1990335]; protein phosphorylation [GO:0006468]; regulation of eating behavior [GO:1903998]; regulation of gene expression [GO:0010468]; regulation of multicellular organism growth [GO:0040014]; regulation of oviposition [GO:0046662]; response to hydrogen peroxide [GO:0042542]; response to odorant [GO:1990834]; response to oxygen levels [GO:0070482]; sensory perception of bitter taste [GO:0050913]; signal transduction [GO:0007165]; sleep [GO:0030431]
Q03112	MECOM_HUMAN	Histone-lysine N-methyltransferase MECOM (EC 2.1.1.43) (Ecotropic virus integration site 1 protein homolog) (EVI-1) (MDS1 and EVI1 complex locus protein) (Myelodysplasia syndrome 1 protein) (Myelodysplasia syndrome-associated protein 1)	"apoptotic process [GO:0006915]; cell differentiation [GO:0030154]; hematopoietic stem cell proliferation [GO:0071425]; heterochromatin organization [GO:0070828]; negative regulation of JNK cascade [GO:0046329]; negative regulation of programmed cell death [GO:0043069]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of cell cycle [GO:0051726]; regulation of transcription by RNA polymerase II [GO:0006357]"
Q9FNY7	OGG1_ARATH	N-glycosylase/DNA lyase OGG1 [Includes: 8-oxoguanine DNA glycosylase 1 (AtOGG1) (EC 3.2.2.-); DNA-(apurinic or apyrimidinic site) lyase (AP lyase) (EC 4.2.99.18)]	"DNA repair [GO:0006281]; base-excision repair, AP site formation [GO:0006285]; nucleotide-excision repair [GO:0006289]"
Q9VXD9	MTH1_DROME	Probable G-protein coupled receptor Mth-like 1 (Protein methuselah-like 1)	G protein-coupled receptor signaling pathway [GO:0007186]; actin-mediated cell contraction [GO:0070252]; cell surface receptor signaling pathway [GO:0007166]; determination of adult lifespan [GO:0008340]; gastrulation [GO:0007369]; imaginal disc-derived wing morphogenesis [GO:0007476]; mesectoderm development [GO:0048383]; mesoderm migration involved in gastrulation [GO:0007509]; regulation of myosin II filament organization [GO:0043519]; response to starvation [GO:0042594]; wing disc morphogenesis [GO:0007472]
Q9XIF0	DRL13_ARATH	Putative disease resistance protein At1g59780	defense response [GO:0006952]
Q84JU6	HOS1_ARATH	E3 ubiquitin-protein ligase HOS1 (EC 2.3.2.27) (Protein HIGH EXPRESSION OF OSMOTICALLY RESPONSIVE GENE 1) (RING finger protein HOS1) (RING-type E3 ubiquitin transferase HOS1)	"negative regulation of transcription, DNA-templated [GO:0045892]; protein ubiquitination [GO:0016567]; response to cold [GO:0009409]; vegetative to reproductive phase transition of meristem [GO:0010228]"
Q8CG46	SMC5_MOUSE	Structural maintenance of chromosomes protein 5 (SMC protein 5) (SMC-5) (mSMC5) (Protein expressed in male leptotene and zygotene spermatocytes 453) (MLZ-453)	cell division [GO:0051301]; cellular response to DNA damage stimulus [GO:0006974]; cellular senescence [GO:0090398]; double-strand break repair via homologous recombination [GO:0000724]; positive regulation of chromosome segregation [GO:0051984]; positive regulation of maintenance of mitotic sister chromatid cohesion [GO:0034184]; sister chromatid cohesion [GO:0007062]; telomere maintenance via recombination [GO:0000722]
O95837	GNA14_HUMAN	Guanine nucleotide-binding protein subunit alpha-14 (G alpha-14) (G-protein subunit alpha-14)	G protein-coupled receptor signaling pathway [GO:0007186]; adenylate cyclase-modulating G protein-coupled receptor signaling pathway [GO:0007188]; phospholipase C-activating dopamine receptor signaling pathway [GO:0060158]; platelet activation [GO:0030168]; signal transduction [GO:0007165]
A2A863	ITB4_MOUSE	Integrin beta-4 (CD antigen CD104)	amelogenesis [GO:0097186]; autophagy [GO:0006914]; cell adhesion [GO:0007155]; cell adhesion mediated by integrin [GO:0033627]; cell migration [GO:0016477]; cell motility [GO:0048870]; cell-matrix adhesion [GO:0007160]; digestive tract development [GO:0048565]; filopodium assembly [GO:0046847]; hemidesmosome assembly [GO:0031581]; integrin-mediated signaling pathway [GO:0007229]; myelination in peripheral nervous system [GO:0022011]; nail development [GO:0035878]; peripheral nervous system myelin formation [GO:0032290]; renal system development [GO:0072001]; response to wounding [GO:0009611]; skin development [GO:0043588]; trophoblast cell migration [GO:0061450]
Q28085	CFAH_BOVIN	Complement factor H (H factor 1)	"complement activation, alternative pathway [GO:0006957]"
C6DGH9	RECF_PECCP	DNA replication and repair protein RecF	DNA repair [GO:0006281]; DNA replication [GO:0006260]; SOS response [GO:0009432]
Q89AK2	MFD_BUCBP	Transcription-repair-coupling factor (TRCF) (EC 3.6.4.-)	DNA repair [GO:0006281]
P35822	PTPRK_MOUSE	Receptor-type tyrosine-protein phosphatase kappa (Protein-tyrosine phosphatase kappa) (R-PTP-kappa) (EC 3.1.3.48)	"cell adhesion [GO:0007155]; cell migration [GO:0016477]; cellular response to UV [GO:0034644]; cellular response to reactive oxygen species [GO:0034614]; focal adhesion assembly [GO:0048041]; negative regulation of cell cycle [GO:0045786]; negative regulation of cell migration [GO:0030336]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of keratinocyte proliferation [GO:0010839]; negative regulation of transcription, DNA-templated [GO:0045892]; neuron projection development [GO:0031175]; protein dephosphorylation [GO:0006470]; protein localization to cell surface [GO:0034394]; signal transduction [GO:0007165]; transforming growth factor beta receptor signaling pathway [GO:0007179]"
Q15262	PTPRK_HUMAN	Receptor-type tyrosine-protein phosphatase kappa (Protein-tyrosine phosphatase kappa) (R-PTP-kappa) (EC 3.1.3.48)	"cell adhesion [GO:0007155]; cell migration [GO:0016477]; cellular response to UV [GO:0034644]; cellular response to reactive oxygen species [GO:0034614]; focal adhesion assembly [GO:0048041]; negative regulation of cell cycle [GO:0045786]; negative regulation of cell migration [GO:0030336]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of keratinocyte proliferation [GO:0010839]; negative regulation of transcription, DNA-templated [GO:0045892]; neuron projection development [GO:0031175]; protein dephosphorylation [GO:0006470]; protein localization to cell surface [GO:0034394]; signal transduction [GO:0007165]; transforming growth factor beta receptor signaling pathway [GO:0007179]"
Q9V4S8	CSN7_DROME	COP9 signalosome complex subunit 7 (Dch7) (Signalosome subunit 7)	COP9 signalosome assembly [GO:0010387]; female germ-line stem cell population maintenance [GO:0036099]; germ cell development [GO:0007281]; germarium-derived cystoblast division [GO:0048142]; male germ-line cyst encapsulation [GO:0048140]; multicellular organism development [GO:0007275]; protein deneddylation [GO:0000338]; protein stabilization [GO:0050821]
Q9VHR6	ATG13_DROME	Autophagy-related protein 13 homolog	activation of protein kinase activity [GO:0032147]; autophagosome assembly [GO:0000045]; autophagy [GO:0006914]; autophagy of mitochondrion [GO:0000422]; intestinal epithelial structure maintenance [GO:0060729]; larval midgut cell programmed cell death [GO:0035096]; macroautophagy [GO:0016236]; mitophagy [GO:0000423]; piecemeal microautophagy of the nucleus [GO:0034727]; positive regulation of nurse cell apoptotic process [GO:0045850]; protein localization to phagophore assembly site [GO:0034497]; regulation of autophagy [GO:0010506]
Q9BDN3	CD40L_CALJA	"CD40 ligand (CD40-L) (Tumor necrosis factor ligand superfamily member 5) (CD antigen CD154) [Cleaved into: CD40 ligand, membrane form; CD40 ligand, soluble form]"	B cell proliferation [GO:0042100]; activation of JUN kinase activity [GO:0007257]; immune response [GO:0006955]; inflammatory response [GO:0006954]; platelet activation [GO:0030168]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of T cell proliferation [GO:0042102]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of interleukin-4 production [GO:0032753]
A1BDQ5	DNLJ_CHLPD	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])	DNA repair [GO:0006281]; DNA replication [GO:0006260]
A5D979	SPRTN_BOVIN	SprT-like domain-containing protein Spartan (Protein with SprT-like domain at the N terminus) (Spartan)	S-adenosylmethionine biosynthetic process [GO:0006556]; cellular response to DNA damage stimulus [GO:0006974]; positive regulation of protein ubiquitination [GO:0031398]; response to UV [GO:0009411]; translesion synthesis [GO:0019985]
F6UH96	SPRTN_XENTR	SprT-like domain-containing protein Spartan (Protein with SprT-like domain at the N terminus) (Spartan)	cellular response to DNA damage stimulus [GO:0006974]; positive regulation of protein ubiquitination [GO:0031398]; response to UV [GO:0009411]; translesion synthesis [GO:0019985]
Q0JMY1	PRP2B_ORYSJ	Poly [ADP-ribose] polymerase 2-B (PARP-2-B) (EC 2.4.2.30) (NAD(+) ADP-ribosyltransferase 2-B) (ADPRT-2-B) (Poly[ADP-ribose] synthase 2-B) (Protein ADP-ribosyltransferase PARP2) (EC 2.4.2.-)	double-strand break repair [GO:0006302]; protein poly-ADP-ribosylation [GO:0070212]
P17787	ACHB2_HUMAN	Neuronal acetylcholine receptor subunit beta-2	"B cell activation [GO:0042113]; acetylcholine receptor signaling pathway [GO:0095500]; action potential [GO:0001508]; associative learning [GO:0008306]; behavioral response to nicotine [GO:0035095]; calcium ion transport [GO:0006816]; central nervous system projection neuron axonogenesis [GO:0021952]; chemical synaptic transmission [GO:0007268]; cognition [GO:0050890]; conditioned taste aversion [GO:0001661]; ion transmembrane transport [GO:0034220]; ion transport [GO:0006811]; lateral geniculate nucleus development [GO:0021771]; learning [GO:0007612]; locomotory behavior [GO:0007626]; membrane depolarization [GO:0051899]; memory [GO:0007613]; negative regulation of action potential [GO:0045759]; nervous system process [GO:0050877]; neuromuscular synaptic transmission [GO:0007274]; optic nerve morphogenesis [GO:0021631]; positive regulation of B cell proliferation [GO:0030890]; positive regulation of dopamine secretion [GO:0033603]; positive regulation of synaptic transmission, dopaminergic [GO:0032226]; protein heterooligomerization [GO:0051291]; regulation of circadian sleep/wake cycle, REM sleep [GO:0042320]; regulation of circadian sleep/wake cycle, non-REM sleep [GO:0045188]; regulation of dendrite morphogenesis [GO:0048814]; regulation of dopamine metabolic process [GO:0042053]; regulation of dopamine secretion [GO:0014059]; regulation of membrane potential [GO:0042391]; regulation of synapse assembly [GO:0051963]; regulation of synaptic transmission, dopaminergic [GO:0032225]; regulation of synaptic vesicle exocytosis [GO:2000300]; response to acetylcholine [GO:1905144]; response to cocaine [GO:0042220]; response to ethanol [GO:0045471]; response to hypoxia [GO:0001666]; response to nicotine [GO:0035094]; sensory perception of pain [GO:0019233]; sensory perception of sound [GO:0007605]; signal transduction [GO:0007165]; smooth muscle contraction [GO:0006939]; social behavior [GO:0035176]; synaptic transmission involved in micturition [GO:0060084]; synaptic transmission, cholinergic [GO:0007271]; vestibulocochlear nerve development [GO:0021562]; visual learning [GO:0008542]; visual perception [GO:0007601]"
Q95LF2	ACKR1_MACMU	Atypical chemokine receptor 1 (Duffy antigen/chemokine receptor) (CD antigen CD234)	chemokine-mediated signaling pathway [GO:0070098]; inflammatory response [GO:0006954]; regulation of chemokine production [GO:0032642]
B8FKD5	DNLJ_DESAL	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])	DNA repair [GO:0006281]; DNA replication [GO:0006260]
Q5HZL4	PAF15_XENLA	PCNA-associated factor (PCNA-associated factor of 15 kDa) (PAF15) (p15PAF) (PCNA-clamp-associated factor)	DNA replication [GO:0006260]; cellular response to DNA damage stimulus [GO:0006974]; centrosome cycle [GO:0007098]; regulation of cell cycle [GO:0051726]; response to UV [GO:0009411]; translesion synthesis [GO:0019985]
P14599	A4_DROME	Amyloid-beta-like protein	learning or memory [GO:0007611]; long-term memory [GO:0007616]; mushroom body development [GO:0016319]; negative regulation of neuron death [GO:1901215]; neuron projection morphogenesis [GO:0048812]; peripheral nervous system development [GO:0007422]; response to axon injury [GO:0048678]; response to electrical stimulus [GO:0051602]; short-term memory [GO:0007614]; synapse organization [GO:0050808]
P42028	NDUS8_BOVIN	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2) (Complex I-23kD) (CI-23kD) (NADH-ubiquinone oxidoreductase 23 kDa subunit) (TYKY subunit)"	"aerobic respiration [GO:0009060]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; mitochondrial respiratory chain complex I assembly [GO:0032981]; response to oxidative stress [GO:0006979]"
Q9DBY1	SYVN1_MOUSE	E3 ubiquitin-protein ligase synoviolin (EC 2.3.2.27) (RING-type E3 ubiquitin transferase synoviolin) (Synovial apoptosis inhibitor 1)	"ERAD pathway [GO:0036503]; in utero embryonic development [GO:0001701]; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902236]; protein K48-linked ubiquitination [GO:0070936]; protein N-linked glycosylation via asparagine [GO:0018279]; protein catabolic process [GO:0030163]; protein stabilization [GO:0050821]; protein ubiquitination [GO:0016567]; response to unfolded protein [GO:0006986]; retrograde protein transport, ER to cytosol [GO:0030970]; ubiquitin-dependent ERAD pathway [GO:0030433]; ubiquitin-dependent protein catabolic process [GO:0006511]"
P58455	KAB3_OLDAF	Kalata-B3/B6 [Cleaved into: Kalata-B6; Kalata-B3]	defense response [GO:0006952]; hemolysis in other organism [GO:0044179]
Q5ZK28	DPOD3_CHICK	DNA polymerase delta subunit 3 (DNA polymerase delta subunit p66)	"DNA strand elongation involved in DNA replication [GO:0006271]; DNA synthesis involved in UV-damage excision repair [GO:1904161]; nucleotide-excision repair, DNA gap filling [GO:0006297]"
O62618	MK38A_DROME	Mitogen-activated protein kinase p38a (MAP kinase p38a) (MAPK p38a) (EC 2.7.11.24) (MAP kinase 14A) (p38 MAPK)	MAPK cascade [GO:0000165]; cellular response to arsenic-containing substance [GO:0071243]; cellular response to cadmium ion [GO:0071276]; cellular response to organic substance [GO:0071310]; cellular response to reactive oxygen species [GO:0034614]; defense response to bacterium [GO:0042742]; defense response to fungus [GO:0050832]; determination of adult lifespan [GO:0008340]; heart morphogenesis [GO:0003007]; immune response [GO:0006955]; intracellular signal transduction [GO:0035556]; mucosal immune response [GO:0002385]; negative regulation of antimicrobial humoral response [GO:0008348]; paracrine signaling [GO:0038001]; positive regulation of cell size [GO:0045793]; reactive oxygen species metabolic process [GO:0072593]; regulation of adult chitin-containing cuticle pigmentation [GO:0048082]; regulation of cellular response to oxidative stress [GO:1900407]; regulation of gene expression [GO:0010468]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to osmotic stress [GO:0006970]; response to oxidative stress [GO:0006979]; response to starvation [GO:0042594]
P73532	RECF_SYNY3	DNA replication and repair protein RecF	DNA replication [GO:0006260]; DNA synthesis involved in DNA repair [GO:0000731]; SOS response [GO:0009432]; double-strand break repair [GO:0006302]
F4JYG0	PIAL2_ARATH	E4 SUMO-protein ligase PIAL2 (EC 2.3.2.-) (Protein INHIBITOR OF ACTIVATED STAT-LIKE 2)	positive regulation of sulfur metabolic process [GO:0051176]; protein sumoylation [GO:0016925]; response to abscisic acid [GO:0009737]; response to osmotic stress [GO:0006970]; response to salt stress [GO:0009651]
P27420	HSP7C_CAEEL	Heat shock 70 kDa protein C	cellular response to heat [GO:0034605]; cellular response to unfolded protein [GO:0034620]; chaperone cofactor-dependent protein refolding [GO:0051085]; endoplasmic reticulum unfolded protein response [GO:0030968]; protein refolding [GO:0042026]; response to unfolded protein [GO:0006986]; ubiquitin-dependent ERAD pathway [GO:0030433]
Q8IWZ3	ANKH1_HUMAN	Ankyrin repeat and KH domain-containing protein 1 (HIV-1 Vpr-binding ankyrin repeat protein) (Multiple ankyrin repeats single KH domain) (hMASK)	innate immune response [GO:0045087]
Q9CKA9	DNLJ_PASMU	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])	DNA repair [GO:0006281]; DNA replication [GO:0006260]
Q2GHG1	DNLJ_EHRCR	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])	DNA repair [GO:0006281]; DNA replication [GO:0006260]
Q5I0B9	ATG16_XENTR	Autophagy-related protein 16 (APG16-like 1)	autophagosome assembly [GO:0000045]; negative stranded viral RNA replication [GO:0039689]; protein transport [GO:0015031]
P0DM65	BECN2_MOUSE	Beclin-2	G protein-coupled receptor catabolic process [GO:1990172]; autophagosome assembly [GO:0000045]; autophagy [GO:0006914]; cellular response to nitrogen starvation [GO:0006995]; endosome to lysosome transport [GO:0008333]; glucose homeostasis [GO:0042593]; late endosome to vacuole transport [GO:0045324]; protein localization by the Cvt pathway [GO:0032258]
O45818	DKF2_CAEEL	Serine/threonine-protein kinase dkf-2 (EC 2.7.11.13) (D kinase family-2)	defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; determination of adult lifespan [GO:0008340]; innate immune response [GO:0045087]; intracellular signal transduction [GO:0035556]; peptidyl-serine phosphorylation [GO:0018105]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; protein import into nucleus [GO:0006606]; protein kinase D signaling [GO:0089700]; protein phosphorylation [GO:0006468]
Q5BH83	DNLI4_EMENI	DNA ligase 4 (EC 6.5.1.1) (DNA ligase IV) (Polydeoxyribonucleotide synthase [ATP] 4)	"DNA biosynthetic process [GO:0071897]; DNA ligation involved in DNA repair [GO:0051103]; DNA recombination [GO:0006310]; DNA replication [GO:0006260]; double-strand break repair via nonhomologous end joining [GO:0006303]; nucleotide-excision repair, DNA gap filling [GO:0006297]"
P29476	NOS1_RAT	"Nitric oxide synthase, brain (EC 1.14.13.39) (BNOS) (Constitutive NOS) (NC-NOS) (NOS type I) (Neuronal NOS) (N-NOS) (nNOS) (Peptidyl-cysteine S-nitrosylase NOS1)"	aging [GO:0007568]; arginine catabolic process [GO:0006527]; behavioral response to cocaine [GO:0048148]; brain development [GO:0007420]; cellular response to epinephrine stimulus [GO:0071872]; cellular response to mechanical stimulus [GO:0071260]; establishment of protein localization [GO:0045184]; female pregnancy [GO:0007565]; negative regulation of apoptotic process [GO:0043066]; negative regulation of blood pressure [GO:0045776]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of cytosolic calcium ion concentration [GO:0051481]; negative regulation of heart contraction [GO:0045822]; negative regulation of hepatic stellate cell contraction [GO:0061875]; negative regulation of insulin secretion [GO:0046676]; negative regulation of iron ion transmembrane transport [GO:0034760]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of peptidyl-serine phosphorylation [GO:0033137]; negative regulation of vasoconstriction [GO:0045906]; nitric oxide biosynthetic process [GO:0006809]; nitric oxide mediated signal transduction [GO:0007263]; peptidyl-cysteine S-nitrosylation [GO:0018119]; positive regulation of blood vessel diameter [GO:0097755]; positive regulation of guanylate cyclase activity [GO:0031284]; positive regulation of long-term synaptic potentiation [GO:1900273]; positive regulation of neuron death [GO:1901216]; positive regulation of sodium ion transmembrane transport [GO:1902307]; regulation of heart contraction [GO:0008016]; regulation of sensory perception of pain [GO:0051930]; response to activity [GO:0014823]; response to estrogen [GO:0043627]; response to ethanol [GO:0045471]; response to heat [GO:0009408]; response to hormone [GO:0009725]; response to hypoxia [GO:0001666]; response to lead ion [GO:0010288]; response to lipopolysaccharide [GO:0032496]; response to nicotine [GO:0035094]; response to nitric oxide [GO:0071731]; response to nutrient levels [GO:0031667]; response to organic cyclic compound [GO:0014070]; response to organonitrogen compound [GO:0010243]; response to peptide hormone [GO:0043434]; response to vitamin E [GO:0033197]; retrograde trans-synaptic signaling by nitric oxide [GO:0098924]
P26039	TLN1_MOUSE	Talin-1	cell adhesion [GO:0007155]; cell-substrate junction assembly [GO:0007044]; cortical actin cytoskeleton organization [GO:0030866]; cytoskeletal anchoring at plasma membrane [GO:0007016]; integrin activation [GO:0033622]; integrin-mediated signaling pathway [GO:0007229]
Q54EW0	FRMA_DICDI	FERM domain-containing protein A	actin cytoskeleton organization [GO:0030036]; cell motility [GO:0048870]; negative regulation of cell-cell adhesion [GO:0022408]; negative regulation of cell-substrate adhesion [GO:0010812]; positive phototaxis [GO:0046956]; sorocarp morphogenesis [GO:0031288]
B2TCB2	3MGH_PARPJ	Putative 3-methyladenine DNA glycosylase (EC 3.2.2.-)	base-excision repair [GO:0006284]
Q8K1E6	ALKB3_MOUSE	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3 (EC 1.14.11.54) (Alkylated DNA repair protein alkB homolog 3) (mAbh3)	DNA dealkylation involved in DNA repair [GO:0006307]; DNA repair [GO:0006281]; cell population proliferation [GO:0008283]; nucleic acid phosphodiester bond hydrolysis [GO:0090305]; oxidative single-stranded DNA demethylation [GO:0035552]; oxidative single-stranded RNA demethylation [GO:0035553]
Q9ALA2	PNTA_RHOSH	NAD(P) transhydrogenase subunit alpha (EC 7.1.1.1) (Nicotinamide nucleotide transhydrogenase subunit alpha) (Pyridine nucleotide transhydrogenase subunit alpha)	NADH oxidation [GO:0006116]; NADPH regeneration [GO:0006740]; cellular response to oxidative stress [GO:0034599]; proton transmembrane transport [GO:1902600]
A4RHU9	DCL2_MAGO7	Dicer-like protein 2 [Includes: Endoribonuclease DCL2 (EC 3.1.26.-); ATP-dependent helicase DCL2 (EC 3.6.4.-)]	RNA processing [GO:0006396]; defense response to virus [GO:0051607]; regulation of defense response to virus [GO:0050688]
